,date,open,high,low,close,volume,Name,main_news,tagged_news,target_reg,target_class
0,2013-02-08,390.4551,393.7283,390.1698,393.0777,6031199,GOOGL,"Google Changes Its Ad Program to Try to Solve the Mobile Ad Riddle: Google made the biggest change to its AdWords program in years, forcing advertisers onto mobile devices and raising protests from some digital ad companies.",,391.2659,False
3,2013-02-13,390.4551,393.0677,390.375,391.8214,2393946,GOOGL,Lost in Translation? Try a Google App: Google’s Translate app proves its worth on a trip to China. But knowing your way around it in advance is a good idea.,,394.0937,True
7,2013-02-20,403.0527,404.8895,396.2929,396.6262,5522500,GOOGL,"Google Will Offer Its Glasses to Select Few: Google will make Glass, its augmented reality glasses, available to people who apply, are chosen and willing to pay $1,500 to try them.",,400.0296,True
8,2013-02-21,399.399,403.1277,396.0056,398.1628,7008464,GOOGL,"Google Searches for Style: As Google and other companies begin to build wearable technology devices, an industry not known for its fashion sense faces a new challenge.",Tip of the Week: Search the Text on a Web Page: Most browsers include tools that help you quickly search and locate specific keywords and phrases within a Web page.,401.5512,True
10,2013-02-25,401.5512,404.6092,395.6402,395.7804,4602925,GOOGL,Q&A: Recommending Web Pages With the Google +1 Button: Google’s “+1″ button is another way of expressing public admiration for a Web page.,,397.7974,True
12,2013-02-27,397.7974,402.7774,395.9506,400.2899,4047784,GOOGL,"The Original Search Engine: In the days before Google, the New York Public Library hand clipped hundreds of thousands of photos and illustrations to create over 12,000 different files for its Picture Collection.",,399.2989,False
13,2013-02-28,400.9506,403.8985,400.9155,401.0006,4526218,GOOGL,"What Is the Point of Google’s Chromebook Pixel?: Google’s latest offering, the Chromebook Pixel, is just a bit baffling.",,403.0527,True
14,2013-03-01,399.2989,403.9736,398.4731,403.4981,4346304,GOOGL,"German Copyright Law Targets Google Links: A bill broadening protections for news publishers was approved by German lawmakers, but critics said the measure did not go far enough.",,414.8795,True
17,2013-03-06,420.93300000000005,422.422,414.8194,416.1057,5739956,GOOGL,Q&A: Checking a Web Site’s Security: Google Chrome and other browsers can warn you if something does not seem right with a Web site’s security credentials.,,417.6673,True
18,2013-03-07,417.447,418.7283,415.2048,416.7143,4101301,GOOGL,"In Upgrade, Google Adds to Model for Mobile Marketing: Google is bringing three new brands to its digital advertising initiative, an attempt to get marketers to think of technology as their best asset.",,416.2608,False
20,2013-03-11,416.2608,420.2699,416.1658,417.8274,3186118,GOOGL,"NELL Is a Computer That Reads the Web – With a Little Human Help: The Never-Ending Language Learner is a computer that reads the Web and seeks to understand the meaning of words and phrases in context. The project at Carnegie Mellon University, funded by the Defense Advanced Research Projects Agency and Google, ...","Algorithms Get a Human Hand in Steering Web: Computer algorithms are capable of trading stocks, arranging dates and winning “Jeopardy.” But increasingly, behind the curtain, there is a human helper.",414.3639,False
21,2013-03-12,415.7704,416.3609,412.2468,414.2188,4012146,GOOGL,"Google Concedes That Drive-By Prying Violated Privacy: In agreeing to settle a case brought by 38 states over the Street View mapping project, the company for the first time is required to aggressively police its own workers on privacy issues.","France Proposes New Rules for Internet Equal Access: The government called for a law requiring Internet service providers to give all traffic on their networks equal priority, saying existing rules were insufficient.",413.9085,False
22,2013-03-13,414.3639,415.7603,411.5662,413.0677,3279147,GOOGL,"Daily Report: Google Concedes That Drive-by Prying Violated Privacy: Google acknowledged on Tuesday that it had violated people’s privacy during its Street View mapping project when it casually scooped up passwords, e-mails and other personal information from unsuspecting computer users.",,409.6592,False
23,2013-03-14,413.9085,413.9085,409.1037,411.1808,3298723,GOOGL,"The End of Google Reader Sends Internet Into an Uproar: After Google announced that it will be shutting down Google Reader on July 1, unhappy customers turned to the Internet to protest the closing.",,402.9025,False
