	Name	main_news	tagged_news
0	GOOGL	"Google Changes Its Ad Program to Try to Solve the Mobile Ad Riddle: Google made the biggest change to its AdWords program in years, forcing advertisers onto mobile devices and raising protests from some digital ad companies."	
3	GOOGL	Lost in Translation? Try a Google App: Google’s Translate app proves its worth on a trip to China. But knowing your way around it in advance is a good idea.	
7	GOOGL	"Google Will Offer Its Glasses to Select Few: Google will make Glass, its augmented reality glasses, available to people who apply, are chosen and willing to pay $1,500 to try them."	
8	GOOGL	"Google Searches for Style: As Google and other companies begin to build wearable technology devices, an industry not known for its fashion sense faces a new challenge."	Tip of the Week: Search the Text on a Web Page: Most browsers include tools that help you quickly search and locate specific keywords and phrases within a Web page.
10	GOOGL	Q&A: Recommending Web Pages With the Google +1 Button: Google’s “+1_ button is another way of expressing public admiration for a Web page.	
12	GOOGL	"The Original Search Engine: In the days before Google, the New York Public Library hand clipped hundreds of thousands of photos and illustrations to create over 12,000 different files for its Picture Collection."	
13	GOOGL	"What Is the Point of Google’s Chromebook Pixel?: Google’s latest offering, the Chromebook Pixel, is just a bit baffling."	
14	GOOGL	"German Copyright Law Targets Google Links: A bill broadening protections for news publishers was approved by German lawmakers, but critics said the measure did not go far enough."	
17	GOOGL	Q&A: Checking a Web Site’s Security: Google Chrome and other browsers can warn you if something does not seem right with a Web site’s security credentials.	
18	GOOGL	"In Upgrade, Google Adds to Model for Mobile Marketing: Google is bringing three new brands to its digital advertising initiative, an attempt to get marketers to think of technology as their best asset."	
20	GOOGL	"NELL Is a Computer That Reads the Web – With a Little Human Help: The Never-Ending Language Learner is a computer that reads the Web and seeks to understand the meaning of words and phrases in context. The project at Carnegie Mellon University, funded by the Defense Advanced Research Projects Agency and Google, ..."	"Algorithms Get a Human Hand in Steering Web: Computer algorithms are capable of trading stocks, arranging dates and winning “Jeopardy.” But increasingly, behind the curtain, there is a human helper."
21	GOOGL	"Google Concedes That Drive-By Prying Violated Privacy: In agreeing to settle a case brought by 38 states over the Street View mapping project, the company for the first time is required to aggressively police its own workers on privacy issues."	"France Proposes New Rules for Internet Equal Access: The government called for a law requiring Internet service providers to give all traffic on their networks equal priority, saying existing rules were insufficient."
22	GOOGL	"Daily Report: Google Concedes That Drive-by Prying Violated Privacy: Google acknowledged on Tuesday that it had violated people’s privacy during its Street View mapping project when it casually scooped up passwords, e-mails and other personal information from unsuspecting computer users."	
23	GOOGL	"The End of Google Reader Sends Internet Into an Uproar: After Google announced that it will be shutting down Google Reader on July 1, unhappy customers turned to the Internet to protest the closing."	
24	GOOGL	Pushing the Boundaries of the Workplace: Google’s East Coast headquarters is an unorthodox workplace with lavish perks that is meant to encourage creativity.	"Pictures From the Week in Business: Mary Jo White drew closer to taking over the Securities and Exchange Commission; European leaders recommitted to austerity measures; and Anna Wintour, longtime editor of Vogue, took on a new role at Condé Nast."
25	GOOGL	"Google Executive to Visit Myanmar: Eric Schmidt, the executive chairman of Google, plans to visit Myanmar, one of the last unexploited territory for businesses in Asia."	"The Search Engine, for Better or for Worse: There is no reason to consider the Internet immune to destructive uses."
26	GOOGL	"Q&A: Logging Out of Gmail From Another Computer: Even if you forget to log out of Gmail from one computer, you can log out of your account on that machine from another computer."	
27	GOOGL	Google Hosts Narendra Modi at Tech Summit: The Gujarat chief minister is expected to offer tips on using the Internet in politics.	
28	GOOGL	"Executives Press European Antitrust Chief on Google: In a letter, the heads of 11 Web businesses in Europe asked Joaquin Almunia to compel Google to change its business practices so that smaller rivals are not unfairly harmed."	Wheelies: The ‘Top 10’ List Edition: Graham Rahal of the Rahal Letterman Lanigan racing team takes a turn presenting the Top 10 List on “The Late Show.”
29	GOOGL	"Q&A: Changing Chrome’s Default Search Engine: You can change the Chrome browser’s default search engine from Google to Bing, Yahoo or another search site of your choosing."	
32	GOOGL	"Fleeting Thoughts, Captured by Pixels: Introducing the note pad Google Keep, a combination Web site and app for Android phones. Wait, that sounds like Evernote."	Q&A: Adding Subtitles to Videos: On-screen captions and subtitles can be added to videos with tools from YouTube or with movie-editng software.
33	GOOGL	"If Children Had Google Glass: If you had Google Glass, what would your children do with it?"	
35	GOOGL	Google Faces More Inquiries in Europe Over Privacy Policy: European regulators accused the company of being unclear about its use of personal data across different services.	A NASA Hangout on Rising Seas and Global Warming: A chat with NASA experts on rising seas in a warming world.
36	GOOGL	"In Search, Google Still Leads: Google still holds by far the largest share of traditional search engine traffic."	Tip of the Week: Keeping Web Browsers in Sync: Several popular browsers can keep open Web pages in sync across computers and mobile devices.
37	GOOGL	"As Web Search Goes Mobile, Competitors Chip at Google’s Lead: Though Google is the undisputed king of search, alternative services are chipping into its share of the market."	"How to Get Rich From the Eastward Tilt: The next Steve Jobs may well be living in a place like Pakistan, Turkey or Nigeria, thanks to a surge in entrepreneurship that is a response to the peril and promise of a globalized economy."
38	GOOGL	"Q&A: Cleaning Up Outdated Gmail Contacts: If Gmail keeps suggesting outdated addresses when you address a new message, it may be time to clean up your Gmail contacts list."	Engineering Serendipity: Companies that depend on innovation are redesigning work spaces to encourage a certain kind of accident: the human collision.
39	GOOGL	"In Europe, New Protest Over Google: European antitrust officials have received a formal complaint from Google’s rivals about its Android mobile operating system."	
40	GOOGL	"World’s Tech Companies Look to Brussels to Resolve Antitrust Complaints: As the European competition chief appears near the end of settlement talks with Google over its search business, he must decide whether to take up a new complaint about its mobile business."	
41	GOOGL	Subway on Way? Maps Tell You: Google Maps has added information on public transportation in several cities.	
44	GOOGL	Europeans Reach Deal With Google on Searches: Google has for the first time agreed to legally binding changes to its search results after an antitrust investigation by European regulators.	
45	GOOGL	"Google Emulates Apple in Restricting Apps for Glass: In a departure from previous products like Android, Google has set extensive limits on the apps developed for its Internet-connected glasses."	
47	GOOGL	"Google, Soothing Investors, Plays Up Its Innovations: Analysts pointed to Google’s mobile business as a weakness because consumers are rapidly shifting from computer use to mobile devices."	"Tip of the Week: Sending Huge E-Mail Attachments: Thanks to a combination of Web-mail and cloud-storage services, sending large files as attachments is easier these days."
49	GOOGL	"Germany Fines Google Over Data Collection: The 145,000-euro levy, the equivalent of about $189,000, was called woefully inadequate to assure compliance by a company with $10.7 billion in 2012 profit."	India Considers Banning Pornography as Reported Sexual Assault Rises: The Supreme Court is considering a petition that would make even watching pornographic material a non-bailable offense.
50	GOOGL	"Daily Report: Europe’s Biggest Privacy Fine Is Pocket Change to Google: German regulators fined Google $189,225, a tiny fraction of its $10.7 billion profit last year, for violating privacy laws with its Street View project, Claire Cain Miller reports in The New York Times."	Q&A: Linking a Samsung Tablet to a TV: Samsung’s Galaxy Tab 2 tablets need extra equipment to play video on a television screen.
52	GOOGL	Europe Nears Antitrust Deal With Google Over Web Searches: The European Commission said it had begun “market testing” intended to determine whether the proposed remedies address complaints that Google favors its own products in search results.	
53	GOOGL	"Google Search Terms Can Predict Stock Market, Study Finds: A new study found that by tracking certain search terms in Google Trends, researchers could predict whether the Dow Jones industrial average would rise or fall the following week."	
54	GOOGL	"TimesTalks | ‘New Digital Age’: Preview: Google’s Eric Schmidt and Jared Cohen speak with The Times’s David Carr about their book, which examines the impact of technology on society in the future."	‘The New Digital Age’: Power Laws: Part 11: Schmidt and Cohen discuss the core scarcity of attention on the web and the challenges content creators face in finding an audience.
56	GOOGL	A Google Duo and a Media Maven Explore a Hyper-Connected Planet: A brisk chat between Googlers and a media maven about the emerging Knowosphere.	
57	GOOGL	Lending Web Site Gains a Shareholder in Google: Lending Club plans to announce that Google led a $125 million deal to buy a stake in the company from existing investors.	Corporate Jet Center Exposes Silicon Valley’s Class Divide: A technology boom that once created middle-class jobs and lifted the overall economy now fuels a growing gap between the very rich and everyone else.
58	GOOGL	"Shine Starts to Wear Off a Little for Google Glass: Let the backlash begin for Google Glass amid privacy concerns and a fear by the mainstream that the new, high-tech glasses are just too geeky."	
59	GOOGL	"Europe Rules Against Patent Move by Google’s Motorola Unit: The European Union on Monday made a preliminary antitrust finding against Motorola Mobility, saying it had abused its dominance in wireless patents by seeking an injunction against Apple in Germany."	YouTube Is Said to Plan a Subscription Option: The Web site was expected this week to announce a plan to let some video makers convert fans into paying customers.
60	GOOGL	"How to Tell Google Now to Stop Peeking: The Google Now app anticipates what information you might want and puts it on your phone screen before you ask for it, which can seem wonderfully prescient or intrusively creepy, but there is an easy adjustment if you don’t like the feeling that G..."	Exploring Environmental Issues and Communication With Students in Japan: High school students in Japan discuss journalism and the environment with a blogger in New York.
61	GOOGL	Google’s Aggregator Gives Way to an Heir: Google Reader is scheduled to end July 1. And Feedly.com is just the newsreader to replace it.	
64	GOOGL	"Google’s Offer to Europe: The company’s proposal is a good start, but policy makers must remain watchful so Google does not abuse its power and limit competition."	
65	GOOGL	"Google Expected to Start a Competitor to Spotify: The service is expected to be announced as early as Wednesday, and reflects agreements the company has made with the three major music labels."	
