date,open,high,low,close,volume,main_news
2013-02-08,28.89,29.17,28.51,28.545,37662614,|||Online Abuse of Teen Girls in Kashmir Leads to Arrests: Swift police response to men who taunted rock band members on Facebook.|||Online Abuse of Teen Girls in Kashmir Leads to Arrests: Swift police response to men who taunted rock band members on Facebook.
2013-02-11,28.61,28.68,28.04,28.26,36979533,
2013-02-12,27.67,28.16,27.1,27.37,93417215,|||Palestine’s Democratic Deficit: The persecution of Facebook activists shows that the Palestinian Authority has little respect for democracy and freedom of speech.
2013-02-13,27.36,28.32,27.31,27.9075,50100805,
2013-02-14,28.02,28.63,28.01,28.5,35581045,"|||Tip of the Week: Adjusting Facebook Photo Previews: If you do not like the way a photo preview appears on your Facebook Timeline page, you can change it."
2013-02-15,28.52,28.75,28.09,28.32,33061895,"|||Facebook Says Hackers Breached Its Computers: Facebook on Friday admitted that its servers had been hacked by sophisticated malware over the last month, but said no user data was compromised in the attacks.|||Facebook Says Hackers Breached Its Computers: Facebook on Friday admitted that its servers had been hacked by sophisticated malware over the last month, but said no user data was compromised in the attacks."
2013-02-19,28.23,29.08,28.12,28.93,49356691,"|||Apple Computers Hit by Sophisticated Cyberattack: Apple says its systems were attacked by the same group that hit Twitter and Facebook. Like Facebook, Apple confirmed that its employees’ computers were infected with malware when they visited a Web site for mobile developers."
2013-02-20,28.92,29.05,28.33,28.462,42046417,
2013-02-21,28.28,28.55,27.15,27.283,49593513,
2013-02-22,27.62,27.63,26.82,27.13,36299386,"|||A Titan’s How-To on Breaking the Glass Ceiling: Sheryl Sandberg, Facebook’s chief operating officer, is attempting to start a national discussion for women in the workplace with her new book, and a social movement."
2013-02-25,27.16,27.64,27.15,27.27,34559101,"|||Parental Leave Policies at Some Big Technology Firms: Facebook’s benefits for new parents include $4,000 in “baby cash” per child."
2013-02-26,27.36,27.46,26.7,27.39,31585238,
2013-02-27,27.34,27.34,26.63,26.87,44266586,
