date,open,high,low,close,volume,main_news
2013-02-08,390.4551,393.7283,390.1698,393.0777,6031199,"Google Changes Its Ad Program to Try to Solve the Mobile Ad Riddle: Google made the biggest change to its AdWords program in years, forcing advertisers onto mobile devices and raising protests from some digital ad companies."
2013-02-11,389.5892,391.8915,387.2619,391.6012,4330781,
2013-02-12,391.2659,394.344,390.0747,390.7403,3714176,
2013-02-13,390.4551,393.0677,390.375,391.8214,2393946,Lost in Translation? Try a Google App: Google’s Translate app proves its worth on a trip to China. But knowing your way around it in advance is a good idea.
2013-02-14,390.2549,394.7644,389.2739,394.3039,3466971,
2013-02-15,394.0937,397.0266,393.9285,396.8414,5453980,
2013-02-19,398.393,403.9035,398.0376,403.8284,5857528,
2013-02-20,403.0527,404.8895,396.2929,396.6262,5522500,"Google Will Offer Its Glasses to Select Few: Google will make Glass, its augmented reality glasses, available to people who apply, are chosen and willing to pay $1,500 to try them."
2013-02-21,399.399,403.1277,396.0056,398.1628,7008464,"Google Searches for Style: As Google and other companies begin to build wearable technology devices, an industry not known for its fashion sense faces a new challenge."
2013-02-22,400.0296,401.0256,397.2969,400.2549,4103315,
2013-02-25,401.5512,404.6092,395.6402,395.7804,4602925,Q&A: Recommending Web Pages With the Google +1 Button: Google’s “+1″ button is another way of expressing public admiration for a Web page.
2013-02-26,397.8975,398.3729,392.5922,395.4601,4399988,
2013-02-27,397.7974,402.7774,395.9506,400.2899,4047784,"The Original Search Engine: In the days before Google, the New York Public Library hand clipped hundreds of thousands of photos and illustrations to create over 12,000 different files for its Picture Collection."
2013-02-28,400.9506,403.8985,400.9155,401.0006,4526218,"What Is the Point of Google’s Chromebook Pixel?: Google’s latest offering, the Chromebook Pixel, is just a bit baffling."
2013-03-01,399.2989,403.9736,398.4731,403.4981,4346304,"German Copyright Law Targets Google Links: A bill broadening protections for news publishers was approved by German lawmakers, but critics said the measure did not go far enough."
2013-03-04,403.0527,411.8314,402.9025,411.1628,5545624,
2013-03-05,414.8795,420.495,414.8644,419.7213,8079065,
2013-03-06,420.933,422.422,414.8194,416.1057,5739956,Q&A: Checking a Web Site’s Security: Google Chrome and other browsers can warn you if something does not seem right with a Web site’s security credentials.
2013-03-07,417.447,418.7283,415.2048,416.7143,4101301,"In Upgrade, Google Adds to Model for Mobile Marketing: Google is bringing three new brands to its digital advertising initiative, an attempt to get marketers to think of technology as their best asset."
2013-03-08,417.6673,417.8774,412.9375,416.1758,5817848,
2013-03-11,416.2608,420.2699,416.1658,417.8274,3186118,"NELL Is a Computer That Reads the Web – With a Little Human Help: The Never-Ending Language Learner is a computer that reads the Web and seeks to understand the meaning of words and phrases in context. The project at Carnegie Mellon University, funded by the Defense Advanced Research Projects Agency and Google, ..."
2013-03-12,415.7704,416.3609,412.2468,414.2188,4012146,"Google Concedes That Drive-By Prying Violated Privacy: In agreeing to settle a case brought by 38 states over the Street View mapping project, the company for the first time is required to aggressively police its own workers on privacy issues."
2013-03-13,414.3639,415.7603,411.5662,413.0677,3279147,"Daily Report: Google Concedes That Drive-by Prying Violated Privacy: Google acknowledged on Tuesday that it had violated people’s privacy during its Street View mapping project when it casually scooped up passwords, e-mails and other personal information from unsuspecting computer users."
2013-03-14,413.9085,413.9085,409.1037,411.1808,3298723,"The End of Google Reader Sends Internet Into an Uproar: After Google announced that it will be shutting down Google Reader on July 1, unhappy customers turned to the Internet to protest the closing."
2013-03-15,409.6592,410.5602,407.0767,407.5582,6191734,Pushing the Boundaries of the Workplace: Google’s East Coast headquarters is an unorthodox workplace with lavish perks that is meant to encourage creativity.
2013-03-18,402.9025,406.7864,401.1357,404.2989,3672831,"Google Executive to Visit Myanmar: Eric Schmidt, the executive chairman of Google, plans to visit Myanmar, one of the last unexploited territory for businesses in Asia."
2013-03-19,406.0256,410.0346,403.6282,406.0657,4191219,"Q&A: Logging Out of Gmail From Another Computer: Even if you forget to log out of Gmail from one computer, you can log out of your account on that machine from another computer."
2013-03-20,408.8234,409.1638,406.1257,407.7614,2924120,Google Hosts Narendra Modi at Tech Summit: The Gujarat chief minister is expected to offer tips on using the Internet in politics.
2013-03-21,406.0506,408.8671,405.3299,406.0356,2930649,"Executives Press European Antitrust Chief on Google: In a letter, the heads of 11 Web businesses in Europe asked Joaquin Almunia to compel Google to change its business practices so that smaller rivals are not unfairly harmed."
2013-03-22,407.7774,408.0276,405.2248,405.5602,2973343,"Q&A: Changing Chrome’s Default Search Engine: You can change the Chrome browser’s default search engine from Google to Bing, Yahoo or another search site of your choosing."
2013-03-25,406.6112,410.0246,403.8134,405.2248,3410398,
2013-03-26,407.1567,407.4069,404.2989,406.6162,2381243,
2013-03-27,403.7433,403.9035,401.0657,401.7313,4322068,"Fleeting Thoughts, Captured by Pixels: Introducing the note pad Google Keep, a combination Web site and app for Android phones. Wait, that sounds like Evernote."
