date,open,high,low,close,volume,main_news
2013-02-08,27.35,27.71,27.31,27.55,33318306,
2013-02-11,27.65,27.92,27.5,27.86,32247549,
2013-02-12,27.88,28,27.75,27.88,35990829,
2013-02-13,27.93,28.11,27.88,28.03,41715530,
2013-02-14,27.92,28.06,27.87,28.04,32663174,
2013-02-15,28.04,28.16,27.875,28.01,49650538,"Q&A: Creating Customized Shortcuts for Microsoft Word: Microsoft Word comes with plenty of built-in keyboard shortcuts for common menu commands, but you can also make your own shortcuts."
2013-02-19,27.8801,28.09,27.8,28.045,38804616,
2013-02-20,28.13,28.2,27.83,27.87,44109412,
2013-02-21,27.74,27.74,27.23,27.49,49078338,"Google Introduces a Touch-Screen Laptop: Google’s newest Chromebook, the Pixel, is priced to compete with expensive Apple and Microsoft laptops. Google made the touch-screen device, which requires users to live entirely in the cloud."
2013-02-22,27.68,27.76,27.48,27.76,31425726,
2013-02-25,27.97,28.05,27.37,27.37,48011248,"Microsoft Inherits Sticky Data Collection Issues From Skype: Privacy advocates are calling on Microsoft to disclose government requests for information of Skype users' encrypted, peer-to-peer conversations, and to ensure that the service is still hack-proof."
2013-02-26,27.38,27.6,27.34,27.37,49917353,
2013-02-27,27.42,28,27.33,27.81,36390889,
2013-02-28,27.88,27.97,27.74,27.8,35836861,
2013-03-01,27.72,27.98,27.52,27.95,34849287,
2013-03-04,27.85,28.15,27.7,28.15,38163549,
2013-03-05,28.29,28.54,28.16,28.35,41431097,Microsoft Faces Fine in Europe After Breaking a Deal: The fine for failing to give Windows users the choice of competing Web browsers would be the first levied by the European Union for neglecting to comply with a settlement.
2013-03-06,28.21,28.23,27.78,28.09,51448452,"Subscribing to Office, Now and Forever: This year with Microsoft Office, it’s not what the features are, but how you pay for them. There are two ways to subscribe."
2013-03-07,28.11,28.28,28.005,28.14,29196691,"Tip of the Week: Free Microsoft Office Quick-Start Guides: Microsoft has free colorful guides to the new features in its Office 2013 suite, available to download from its site."
2013-03-08,28.25,28.33,27.96,28,37667133,"Q&A: Dumping the Windows Jump List: Microsoft’s Jump Lists feature in recent versions of Windows is intended to make life easier, but it can be turned off if you would rather not leave a trail of files you have recently used."
2013-03-11,27.94,27.97,27.67,27.87,36627200,
2013-03-12,27.84,27.95,27.64,27.91,39252591,Q&A: Capturing the Windows 8 Screen: Microsoft’s Windows 8 software can take screen shots in several ways.
2013-03-13,27.87,28.02,27.75,27.915,29093296,
2013-03-14,28,28.16,27.93,28.135,55910657,
2013-03-15,28.03,28.16,27.98,28.035,92709815,
2013-03-18,27.88,28.28,27.81,28.1,44825522,
2013-03-19,28.12,28.22,28.03,28.18,51901568,"U.S. Said to Look Into Microsoft Bribery Allegations: The S.E.C. and Justice Department are investigating accusations involving the company in China, Italy and Romania, a person briefed on the matter said."
2013-03-20,28.34,28.49,28.18,28.315,35447348,"Daily Report: U.S. Is Said to Scrutinize Microsoft Accusations: The S.E.C. and the Justice Department are said to be investigating Microsoft’s involvement with companies accused of paying bribes overseas, Nick Wingfield reports in Wednesday’s New York Times."
2013-03-21,28.11,28.36,28.05,28.11,34233061,"Microsoft Releases Report on Law Enforcement Requests: Publication of the report on government data requests places Microsoft alongside Google, Twitter and other Web businesses in releasing regular transparency reports."
2013-03-22,28.19,28.3379,28.1,28.25,28689434,
2013-03-25,28.3,28.35,27.96,28.16,44153931,
2013-03-26,28.24,28.34,28.11,28.155,27822154,
2013-03-27,28.14,28.445,28.08,28.37,36046203,"Where in the World Are Windows Phones Outselling iPhones?: On Wednesday, Microsoft said that Windows Phone was out-shipping Apple’s iPhone in seven countries. Where? Microsoft didn’t say, so Bits asked IDC."
2013-03-28,28.32,28.66,28.26,28.605,55453713,
2013-04-01,28.64,28.66,28.36,28.61,29199115,
2013-04-02,28.59,28.85,28.52,28.8,28455715,
2013-04-03,28.75,28.95,28.54,28.56,35062269,"Police Surveillance May Earn Money for City: Microsoft, which developed the Domain Awareness System with the New York Police Department, says it is actively negotiating with a number of prospective buyers."
2013-04-04,28.39,28.61,28.27,28.595,45262208,"Q&A: Moving On From the Windows 8 Preview: Now that the free preview edition of Microsoft’s Windows 8 has expired, it is time to upgrade to the final version or reinstall a previous version of Windows."
2013-04-05,28.22,28.78,28.11,28.7,50927261,
2013-04-08,28.73,28.73,28.47,28.59,34759424,"Microsoft Sheds Old TV Baggage to Focus on New Xbox: Microsoft is planning to reveal details about its new Xbox video game console at an event in May, as the games industry prepares for a new generation of hardware that it hopes will lift sales."
2013-04-09,28.73,29.815,28.68,29.61,77733607,
2013-04-10,29.57,30.32,29.52,30.28,71024236,
2013-04-11,29.1,29.2,28.73,28.935,130903838,Q&A: Installing Microsoft Office on Multiple Machines: Microsoft’s software licensing allows you to install Office 2010 on more than one PC.
2013-04-12,28.85,29.02,28.66,28.79,62882640,"A Conversation With: Ravi Venkatesan, Former Chairman of Microsoft India: A veteran executive’s advice on surviving, and thriving, in Indian business."
2013-04-15,28.65,28.98,28.51,28.69,56332862,
2013-04-16,28.9,29.14,28.695,28.97,52795256,"Microsoft Takes Aim at Amazon With a New Cloud Service: On Tuesday, Microsoft will begin offering a new, more basic cloud computing service that competes directly with Amazon’s similar services. And to make sure it’s taken seriously, Microsoft said it will match Amazon’s prices."
2013-04-17,28.85,29.04,28.6,28.825,52840621,"The Screen on a Laptop Wants to Be a Tablet: The ATIV Smart PC Pro 700T from Samsung has the Microsoft Surface Pro’s speed, but comes up short in other ways."
2013-04-18,28.95,28.98,28.5,28.79,56772087,"Software Sales Bolster Microsoft, Leading to a 19% Rise in Profit: Despite a slump in global sales of personal computers, the company said its software product sales drove the increase, which exceeded Wall Street estimates."
2013-04-19,29.62,30.24,29.61,29.765,99790116,"Blame Microsoft: Excel, PowerPoint, Word and Outlook have played more than just cameo roles in the dark side of capitalism, the author contends."
2013-04-22,30.3,31.18,30.27,30.83,137901279,
2013-04-23,30.7,30.9,30.38,30.6,59027213,"Why Tim Cook Is Like Steve Ballmer: Apple and Microsoft have posted poor stock performance under their current leaders, despite substantial growth in revenue and profits."
2013-04-24,30.62,31.92,30.6,31.76,90897055,Tip of the Week: Customize the Microsoft Office Ribbon: Adding your personal touch to the Microsoft Office Ribbon can make it easier to find your favorite commands.
2013-04-25,31.71,32.84,31.54,31.94,110685794,
2013-04-26,31.9,31.98,31.45,31.79,47799284,
2013-04-29,31.8,32.68,31.77,32.61,59116288,
2013-04-30,32.56,33.11,32.28,33.1,75116271,
2013-05-01,32.93,33.08,32.6,32.72,54328805,
2013-05-02,32.63,33.17,32.39,33.16,46055944,
2013-05-03,33.23,33.52,33.08,33.49,46784484,
2013-05-06,33.42,33.91,33.25,33.75,40978078,
2013-05-07,33.65,33.79,33.24,33.31,42916453,"After Bumpy Start, Microsoft Rethinks Windows 8: In a recent interview, Tami Reller, the chief marketing officer and chief financial officer of the Windows division, revealed that a coming update to Windows 8, code-named Windows Blue, will be released this calendar year and will include modifica..."
2013-05-08,33.0667,33.24,32.65,32.99,51643216,"Microsoft Names First Female Finance Chief: Microsoft named Amy Hood as its chief financial officer, the first woman to hold the job. She was most recently the chief financial officer of the business division, which oversees Office applications."
2013-05-09,32.85,33,32.59,32.66,46399199,"Barnes & Noble Shares Jump on Sign of Microsoft Interest in Nook: Microsoft is said to have offered to take over the Nook unit’s e-books and devices operations, but it is unclear whether there are any current talks on a possible deal."
2013-05-10,32.67,32.72,32.32,32.69,36394841,
2013-05-13,32.61,33.07,32.55,33.03,36027027,"New York State to Ask Smartphone Makers to Help Prevent Thefts: Attorney General Eric T. Schneiderman will seek the cooperation of Apple, Google, Microsoft and Samsung to find ways of improving the security of the devices."
2013-05-14,32.8601,33.53,32.8,33.53,56867771,"More Details About the New Windows: Microsoft is shedding the Windows Blue code name for the next installment of its operating system. The official name will be Windows 8.1, a company executive said on Tuesday. That name is one of the many clues that the new operating system will no..."
2013-05-15,33.45,33.9,33.43,33.845,46303779,
2013-05-16,33.64,34.15,33.55,34.08,59381496,
2013-05-17,34.1301,34.87,34.1,34.87,60666467,
2013-05-20,34.73,35.095,34.68,35.08,54020102,
2013-05-21,35.1,35.2725,34.72,34.85,48693429,"Next Xbox Will Face New Array of Rivals: Microsoft’s new game console also serves as a home entertainment hub, a response to the rising popularity of mobile devices for playing games."
2013-05-22,34.79,34.84,34.36,34.61,66043135,
2013-05-23,34.23,34.55,33.9,34.15,51102326,
2013-05-24,33.92,34.28,33.9,34.269,33174304,
2013-05-28,34.42,35.18,34.41,35.02,48211220,
2013-05-29,34.74,35.02,34.57,34.88,38411673,
2013-05-30,34.85,35.25,34.813,35.03,51130805,"With Windows 8.1, a New Start That Looks Familiar: With a new version of its Windows operating system due later this year, Microsoft is reviving some hallmarks of previous versions, including the Start menu, but it is keeping the touch-friendly, tile-based look of Windows 8 that has turned off man..."
2013-05-31,34.82,35.28,34.79,34.9,56162496,"Q&A: Choosing a Windows Tablet: Microsoft has two versions of Windows that can run on tablet computers, but Windows 8 is more generally versatile than the more mobile-oriented Windows RT."
2013-06-03,34.92,35.63,34.83,35.59,51249396,"Microsoft Weighs Restructuring: Microsoft is considering mixing up the responsibilities of its top executives as it seeks to further its transformation into what Steve Ballmer, Microsoft’s chief executive, calls a “devices and services company.”"
2013-06-04,35.62,35.74,34.771,34.99,65529399,
2013-06-05,34.6,34.89,34.43,34.78,46023857,
2013-06-06,34.84,35.11,34.49,34.96,37617747,"Making Windows 8 Better: Microsoft is working on version 8.1 of its operating system, and it shouldn’t be too timid or proud to undo the coupling of its tile-based and desktop environments."
2013-06-07,35.25,35.78,35.06,35.67,40757245,
2013-06-10,35.51,35.65,35.14,35.47,35991809,"What Xbox One and Politics Have in Common: Video game consoles, like political candidates, need to excite their bases to win. With a series of game announcements on Monday, Microsoft was definitely catering to its base, hard-core gamers, rather than to the people who will buy its games sys..."
2013-06-11,35.05,35.18,34.68,34.84,39435445,
2013-06-12,35.14,35.27,34.85,35,37371982,"Daily Report: Google, Facebook and Microsoft Ask to Reveal U.S. Data Requests: The technology companies asked the government for permission to reveal details about the classified requests they get for the personal information of foreign users, Claire Cain Miller reports in The New York Times."
2013-06-13,34.99,35.02,34.59,34.715,45635878,Microsoft to Open Mini-Stores Inside Best Buy: Microsoft and Best Buy announced a plan to create 600 Windows stores within Best Buy retail locations in the United States and Canada.
2013-06-14,34.55,34.6901,34.25,34.4,53191609,"Unwelcome Innovation Earns Gamers’ Jeers: At E3, a video game trade show where novelty is prized, Microsoft drew resentment for its plans to monitor gamers’ use of resold games."
2013-06-17,34.69,35.16,34.63,35,49670032,
2013-06-18,34.97,35.17,34.895,34.98,28614869,
2013-06-19,34.96,35.09,34.59,34.59,30816008,"Microsoft Adds Office for iPhone. Yawn.: Microsoft’s application falls short of duplicating the everyday functions of Word, Excel and PowerPoint. Some outside apps do it better."
2013-06-20,34.26,34.33,33.37,33.49,54493643,"Xbox Reversal Won’t Stop the Inevitable: Microsoft on Wednesday reversed a couple of controversial policies about how its new Xbox One game console will operate, both of which would probably have slammed the brakes on the used games business. But that business is likely to fade away anyw..."
2013-06-21,33.66,33.73,33.05,33.265,85337340,
2013-06-24,32.94,34.2,32.57,33.715,56108988,
2013-06-25,34.08,34.38,33.46,33.67,44051085,
