date,open,high,low,close,volume,Name,main_news,tagged_news
2013-02-08,28.89,29.17,28.51,28.545,37662614,FB,Online Abuse of Teen Girls in Kashmir Leads to Arrests: Swift police response to men who taunted rock band members on Facebook.,
2013-02-11,28.61,28.68,28.04,28.26,36979533,FB,,
2013-02-12,27.67,28.16,27.1,27.37,93417215,FB,Palestine’s Democratic Deficit: The persecution of Facebook activists shows that the Palestinian Authority has little respect for democracy and freedom of speech.,
2013-02-13,27.36,28.32,27.31,27.9075,50100805,FB,,"After Cameo, Poland Spring Uncaps a Response: When Senator Marco Rubio, the Florida Republican, reached for a bottle of Poland Spring water on Tuesday night during the Republican response to President Obama’s State of the Union address, social media exploded with mentions of the brand. Poland..."
2013-02-14,28.02,28.63,28.01,28.5,35581045,FB,"Tip of the Week: Adjusting Facebook Photo Previews: If you do not like the way a photo preview appears on your Facebook Timeline page, you can change it.","Fund-Raising for Schools, Using Old Class Photos: A new Web service aims to give schools a new way to raise funds, using their old photos."
2013-02-15,28.52,28.75,28.09,28.32,33061895,FB,"Facebook Says Hackers Breached Its Computers: Facebook on Friday admitted that its servers had been hacked by sophisticated malware over the last month, but said no user data was compromised in the attacks.",
2013-02-19,28.23,29.08,28.12,28.93,49356691,FB,"Apple Computers Hit by Sophisticated Cyberattack: Apple says its systems were attacked by the same group that hit Twitter and Facebook. Like Facebook, Apple confirmed that its employees’ computers were infected with malware when they visited a Web site for mobile developers.",
2013-02-20,28.92,29.05,28.33,28.462,42046417,FB,,"Biden Shotgun Advice Draws Quizzical Response: Not every American has Secret Service protection, so Vice President Joseph R. Biden Jr. has some advice for protecting one’s self and home: Get a shotgun, just as he has."
2013-02-21,28.28,28.55,27.15,27.283,49593513,FB,,"Amid Online Furor, Sheriff Responds to Death of Man With Down Syndrome: An outpouring of criticism online has prompted a local sheriff to post a statement on social media to try to reassure the public that his office was handling the matter responsibly."
2013-02-22,27.62,27.63,26.82,27.13,36299386,FB,"What Facebook's Search Engine Tells Us: As Graph Search is more widely disseminated, Facebook users may be stunned to learn how they can be found.",
2013-02-25,27.16,27.64,27.15,27.27,34559101,FB,"Parental Leave Policies at Some Big Technology Firms: Facebook’s benefits for new parents include $4,000 in “baby cash” per child.","Hungry Photography: A food photographer, food bloggers and a chef offer suggestions on how to make mobile food photography more appetizing."
2013-02-26,27.36,27.46,26.7,27.39,31585238,FB,,Q&A: Staying Safe From Java Threats: Disabling the Java software used by your Web browser can protect your computer from recent security issues and malicious software.
2013-02-27,27.34,27.34,26.63,26.87,44266586,FB,,Will Journalism Go the Way of Whaling?: Brooks and Collins ask how much new media mangle the message.
2013-02-28,26.84,27.3,26.34,27.25,82980886,FB,Facebook Buys Service to Show Targeted Ads Across the Web: Facebook buys an advertising technology that could allow it to better use its personal data to sell ads.,Geeks for Peace: Can a network of tech-savvy Kenyans tracking hate speech and mapping trouble spots keep the election quiet?
2013-03-01,27.05,28.1164,26.81,27.78,54040282,FB,"How to Beat Some Facebook Scammers: There is a thriving business in artificially inflating a Facebook page’s audience. Here is one way scammers trick you into helping them, and what you can do to stop it.",
2013-03-04,27.76,28.06,27.44,27.72,32377922,FB,,
2013-03-05,27.88,28.18,27.21,27.52,40193063,FB,"Study: Facebook Users More Protective Even as They Reveal More About Themselves: Facebook users in one university network have become more wary of revealing sensitive personal information to the public even as they seem to be revealing much more about themselves to Facebook and its third-party business partners, an academic pa...",
2013-03-06,28.1,28.13,27.35,27.4525,33481681,FB,"Sandberg Takes Her Message to Wall St.: Kicking off her East Coast book tour, Sheryl Sandberg, the chief operating officer of Facebook, will attend events this week at Goldman Sachs, Morgan Stanley and JPMorgan Chase.",
