date,open,high,low,close,volume,Name,main_news,tagged_news
2013-02-08,390.4551,393.7283,390.1698,393.0777,6031199,GOOGL,"Google Changes Its Ad Program to Try to Solve the Mobile Ad Riddle: Google made the biggest change to its AdWords program in years, forcing advertisers onto mobile devices and raising protests from some digital ad companies.",
2013-02-11,389.5892,391.8915,387.2619,391.6012,4330781,GOOGL,,
2013-02-12,391.2659,394.344,390.0747,390.7403,3714176,GOOGL,,Q&A: Moving Contacts to a New Phone: You have a few ways to bring your phone numbers with you when moving from an Android smartphone to a new Windows Phone 8 handset.
2013-02-13,390.4551,393.0677,390.375,391.8214,2393946,GOOGL,Lost in Translation? Try a Google App: Google’s Translate app proves its worth on a trip to China. But knowing your way around it in advance is a good idea.,
2013-02-14,390.2549,394.7644,389.2739,394.3039,3466971,GOOGL,,
2013-02-15,394.0937,397.0266,393.9285,396.8414,5453980,GOOGL,,
2013-02-19,398.39300000000003,403.9035,398.0376,403.8284,5857528,GOOGL,,
2013-02-20,403.0527,404.8895,396.2929,396.6262,5522500,GOOGL,"Google Will Offer Its Glasses to Select Few: Google will make Glass, its augmented reality glasses, available to people who apply, are chosen and willing to pay $1,500 to try them.",
2013-02-21,399.399,403.1277,396.0056,398.1628,7008464,GOOGL,"Google Searches for Style: As Google and other companies begin to build wearable technology devices, an industry not known for its fashion sense faces a new challenge.",Tip of the Week: Search the Text on a Web Page: Most browsers include tools that help you quickly search and locate specific keywords and phrases within a Web page.
2013-02-22,400.0296,401.0256,397.2969,400.2549,4103315,GOOGL,,"North Korea Widens Internet Access, but Just for Visitors: Pyongyang opens the door a bit more to cyberspace, but North Korean citizens are not the beneficiaries."
2013-02-25,401.5512,404.6092,395.6402,395.7804,4602925,GOOGL,Q&A: Recommending Web Pages With the Google +1 Button: Google’s “+1″ button is another way of expressing public admiration for a Web page.,
2013-02-26,397.8975,398.3729,392.5922,395.4601,4399988,GOOGL,,M.L.S. Commissioner: The Digital Don: M.L.S. Commissioner Don Garber will make his annual preseason address and take questions from the media in an online forum Wednesday.
2013-02-27,397.7974,402.7774,395.9506,400.2899,4047784,GOOGL,"The Original Search Engine: In the days before Google, the New York Public Library hand clipped hundreds of thousands of photos and illustrations to create over 12,000 different files for its Picture Collection.",
2013-02-28,400.9506,403.8985,400.9155,401.0006,4526218,GOOGL,"What Is the Point of Google’s Chromebook Pixel?: Google’s latest offering, the Chromebook Pixel, is just a bit baffling.",
