,open,high,low,close,volume,Name
2014-09-24,144.17,145.12,143.72,144.88,2608200,MMM
2014-09-25,144.41,144.46,142.07,142.48,2764200,MMM
2014-09-26,142.52,142.8877,140.98,142.42,3557700,MMM
2014-09-29,140.94,142.34,140.66,142.19,2848300,MMM
2014-09-30,142.5101,142.9,141.28,141.68,2675100,MMM
2014-10-01,141.16,141.67,138.7211,139.18,2925900,MMM
2014-10-02,138.57,139.32,137.95,138.67,3221300,MMM
2014-10-03,139.33,140.45,138.57,140.17,3514100,MMM
2014-10-06,140.5484,141.28,139.59,140.34,2464700,MMM
2014-10-07,138.82,140.18,137.66,137.68,3144900,MMM
2014-10-08,138.25,141.48,137.7096,141.41,4135500,MMM
2014-10-09,141.15,141.5,138.33,138.64,3768000,MMM
2014-10-10,139.33,139.6,133.82,133.83,7366500,MMM
2014-10-13,134.26,135.3576,131.01,132.9,4583400,MMM
2014-10-14,133.65,135.9462,133.21,134.18,3644300,MMM
2014-10-15,132.56,134.64,130.6,134.22,4794700,MMM
2014-10-16,133.42,135.9693,132.752,135.05,3497200,MMM
2014-10-17,135.75,137.8667,135.75,137.4,3746400,MMM
2014-10-20,137.15,137.75,136.76,137.6,2782500,MMM
2014-10-21,138.4,141.1,138.34,140.93,3078400,MMM
2014-10-22,140.9,141.09,138.7,138.95,4294300,MMM
2014-10-23,141.92,147.92,141.92,145.05,7424400,MMM
2014-10-24,145.0,148.79,144.81,148.59,4480900,MMM
2014-10-27,148.09,149.71,147.34,149.56,2840000,MMM
2014-10-28,149.83,151.13,149.56,151.06,2358800,MMM
2014-10-29,151.39,151.73,150.2,151.01,2060600,MMM
2014-10-30,150.49,152.4,150.0,152.1,1836500,MMM
2014-10-31,153.83,154.44,153.09,153.77,3016300,MMM
2014-11-03,153.14,154.39,152.98,153.3,2367500,MMM
2014-11-04,153.92,155.23,153.24,155.05,3128600,MMM
2014-11-05,155.68,156.24,154.14,155.69,2770400,MMM
2014-11-06,155.69,156.68,155.21,156.05,2067200,MMM
2014-11-07,156.15,156.62,155.475,156.55,1882800,MMM
2014-11-10,156.25,157.71,156.05,157.66,1463500,MMM
2014-11-11,157.95,158.0,156.65,157.11,1806600,MMM
2014-11-12,156.65,157.87,156.5,157.68,1500700,MMM
2014-11-13,158.0,159.07,157.48,158.35,2375100,MMM
2014-11-14,158.53,158.88,157.71,158.85,1786300,MMM
2014-11-17,158.09,159.16,158.09,158.69,1674300,MMM
2014-11-18,158.88,160.46,158.85,160.15,2311400,MMM
2014-11-19,159.33,159.41,157.97,158.83,2314700,MMM
2014-11-20,158.19,159.55,157.8482,159.36,1749000,MMM
2014-11-21,160.31,160.86,159.59,160.16,2472000,MMM
2014-11-24,160.16,160.5634,159.41,159.88,2358200,MMM
2014-11-25,159.0,159.68,158.06,158.06,3646300,MMM
2014-11-26,157.97,158.45,157.5,158.31,1823200,MMM
2014-11-28,159.58,160.82,158.8,160.09,1565500,MMM
2014-12-01,158.35,159.505,157.86,158.16,2502100,MMM
2014-12-02,158.78,160.78,158.54,160.6,2504400,MMM
2014-12-03,161.1,162.44,160.17,162.26,3038800,MMM
2014-12-04,162.0,162.92,160.9,162.26,2164200,MMM
2014-12-05,162.4,162.9,161.88,162.27,1722600,MMM
