,open,high,low,close,volume,Name
2014-09-24,129.51,130.71,129.0,130.62,439400,AAP
2014-09-25,130.62,130.92,128.2,128.2,467700,AAP
2014-09-26,128.68,130.37,128.68,130.1,460400,AAP
2014-09-29,128.3,130.94,128.3,130.64,574900,AAP
2014-09-30,130.84,131.09,129.01,130.3,781300,AAP
2014-10-01,129.89,131.44,129.08,130.52,1017000,AAP
2014-10-02,130.1994,133.23,130.03,132.97,944500,AAP
2014-10-03,133.76,135.39,132.21,135.13,806000,AAP
2014-10-06,136.34,136.34,134.26,134.42,614600,AAP
2014-10-07,134.34,136.1,133.38,133.81,773000,AAP
2014-10-08,134.24,136.88,133.74,136.84,904700,AAP
2014-10-09,135.72,136.75,133.06,133.99,700600,AAP
2014-10-10,133.35,134.88,132.7,132.81,869400,AAP
2014-10-13,133.41,134.2,130.76,130.88,1283300,AAP
2014-10-14,131.35,134.05,130.8,133.98,684400,AAP
2014-10-15,131.76,134.95,130.14,133.51,1117700,AAP
2014-10-16,131.52,134.15,131.4,132.43,1085800,AAP
2014-10-17,133.84,136.03,132.69,135.79,719000,AAP
2014-10-20,135.5,139.85,135.4938,139.57,900600,AAP
2014-10-21,140.85,142.08,140.33,141.02,908300,AAP
2014-10-22,141.71,142.2,138.2807,138.78,864000,AAP
2014-10-23,141.15,143.61,140.6527,140.78,1624900,AAP
2014-10-24,141.25,142.13,139.475,142.04,958300,AAP
2014-10-27,142.1686,144.52,141.86,144.46,464800,AAP
2014-10-28,145.0,146.23,143.75,145.78,664300,AAP
2014-10-29,146.33,146.33,143.95,145.03,490800,AAP
2014-10-30,144.9974,146.0,143.96,145.71,461400,AAP
2014-10-31,147.25,147.25,145.71,146.96,731400,AAP
2014-11-03,148.16,149.3,147.11,147.76,891500,AAP
2014-11-04,147.09,148.75,147.09,148.44,1029200,AAP
2014-11-05,149.27,149.835,148.56,149.37,1416400,AAP
2014-11-06,138.5,147.5,137.17,145.56,3398600,AAP
2014-11-07,145.88,146.575,141.3,141.85,1321000,AAP
2014-11-10,142.23,145.18,141.7852,145.17,1164700,AAP
2014-11-11,145.0015,145.39,144.23,144.98,524800,AAP
2014-11-12,144.71,146.5,144.71,146.27,579800,AAP
2014-11-13,146.45,147.27,145.405,146.0,519400,AAP
2014-11-14,146.8,147.61,144.35,144.81,563200,AAP
2014-11-17,145.21,147.03,145.21,145.83,557800,AAP
2014-11-18,145.44,146.52,145.44,146.24,736500,AAP
2014-11-19,146.0,146.15,144.08,144.74,813100,AAP
2014-11-20,144.2143,146.25,144.08,145.19,485000,AAP
2014-11-21,146.06,146.4143,145.44,145.49,522400,AAP
2014-11-24,145.74,146.17,144.12,145.58,585900,AAP
2014-11-25,146.0,146.44,143.11,145.45,1001700,AAP
2014-11-26,145.86,146.38,144.75,145.71,644000,AAP
2014-11-28,146.0,148.06,145.67,147.08,683000,AAP
2014-12-01,146.41,147.7725,146.13,147.07,1220300,AAP
2014-12-02,146.71,148.87,146.55,148.48,1022700,AAP
2014-12-03,148.44,152.15,148.3532,152.04,1046300,AAP
2014-12-04,152.42,153.537,150.66,153.25,800500,AAP
2014-12-05,154.21,154.37,152.38,154.18,909200,AAP
2014-12-08,154.89,154.89,152.89,153.68,817200,AAP
2014-12-09,152.01,158.65,152.01,158.25,1242000,AAP
2014-12-10,158.16,159.12,156.81,157.24,658000,AAP
2014-12-11,157.34,161.27,157.34,159.16,807400,AAP
2014-12-12,158.92,161.9965,158.92,160.25,857500,AAP
2014-12-15,161.7,163.36,160.29,161.01,1343500,AAP
2014-12-16,161.0,161.26,156.98,157.01,1159200,AAP
2014-12-17,157.28,159.7,155.87,159.55,497800,AAP
2014-12-18,161.05,161.56,159.29,160.74,505300,AAP
2014-12-19,160.71,161.212,159.01,159.85,1017900,AAP
2014-12-22,160.22,160.66,158.801,159.44,507300,AAP
2014-12-23,160.51,162.52,160.27,161.19,524900,AAP
2014-12-24,161.44,162.4,160.22,160.23,152400,AAP
2014-12-26,160.28,161.249,159.86,160.0,307500,AAP
2014-12-29,160.18,162.13,159.741,161.22,417700,AAP
2014-12-30,161.21,162.08,160.0,160.03,340000,AAP
2014-12-31,160.64,162.6949,159.26,159.28,468100,AAP
2015-01-02,160.85,162.5,157.47,158.56,509800,AAP
2015-01-05,158.17,158.988,155.9,156.47,803600,AAP
2015-01-06,156.56,157.29,153.9,156.36,872300,AAP
2015-01-07,157.61,160.61,157.06,159.72,1326800,AAP
2015-01-08,163.3628,163.46,161.0,161.12,1025700,AAP
2015-01-09,159.95,161.62,158.39,160.3,912100,AAP
2015-01-12,160.13,160.41,158.22,158.93,756700,AAP
2015-01-13,159.62,160.72,152.331,153.76,824700,AAP
2015-01-14,151.9,153.16,149.38,150.83,719400,AAP
2015-01-15,151.17,151.86,147.83,148.02,926200,AAP
2015-01-16,148.0,150.2,147.2,150.0,776800,AAP
2015-01-20,150.04,152.74,148.45,152.66,941800,AAP
2015-01-21,152.49,154.085,152.07,153.35,711200,AAP
2015-01-22,154.4,157.62,153.9,156.54,738800,AAP
2015-01-23,156.99,158.05,154.64,155.78,685500,AAP
2015-01-26,155.75,159.25,155.75,159.23,614500,AAP
2015-01-27,158.09,159.525,156.87,159.03,540800,AAP
2015-01-28,159.49,161.13,158.5205,159.3,1149800,AAP
2015-01-29,159.69,160.98,157.58,160.26,561300,AAP
2015-01-30,159.56,160.98,157.4,159.0,830500,AAP
2015-02-02,159.0,159.47,153.2797,155.97,820100,AAP
