,open,high,low,close,volume,Name
2014-09-24,63.21,63.52,62.66,63.17,824800,ALB
2014-09-25,62.8,62.8,60.56,60.63,1480500,ALB
2014-09-26,60.62,61.06,60.31,60.88,919400,ALB
2014-09-29,60.11,60.53,59.85,60.03,1047400,ALB
2014-09-30,59.98,60.195,58.37,58.9,1877700,ALB
2014-10-01,58.73,58.77,57.2785,57.79,2150800,ALB
2014-10-02,57.78,58.95,57.22,58.88,1686600,ALB
2014-10-03,58.9175,59.27,58.24,58.98,1592900,ALB
2014-10-06,60.14,60.9,59.24,59.51,1072100,ALB
2014-10-07,59.2,59.7384,58.41,58.46,1204200,ALB
2014-10-08,58.26,58.74,57.25,58.69,1095700,ALB
2014-10-09,58.5,58.684,56.25,56.3,1300200,ALB
2014-10-10,56.33,56.43,54.65,55.03,1671800,ALB
2014-10-13,55.04,55.74,53.08,53.16,1113300,ALB
2014-10-14,53.73,54.36,52.84,53.51,1590600,ALB
2014-10-15,52.5565,54.06,51.35,53.72,2058200,ALB
2014-10-16,52.65,54.25,52.44,53.89,1971100,ALB
2014-10-17,54.5418,55.65,54.25,54.59,1935200,ALB
2014-10-20,54.5174,55.39,53.85,55.36,1406500,ALB
2014-10-21,55.82,56.76,55.63,56.53,1795400,ALB
2014-10-22,56.97,57.13,55.16,55.24,1849800,ALB
2014-10-23,57.24,58.35,55.97,56.8,2413700,ALB
2014-10-24,56.7411,57.28,56.09,57.2,847100,ALB
2014-10-27,56.63,56.97,55.53,56.53,1046000,ALB
2014-10-28,57.06,58.09,56.4916,57.99,1824900,ALB
2014-10-29,58.06,58.09,56.8,57.19,1701100,ALB
2014-10-30,57.0,57.67,56.68,57.35,1264300,ALB
2014-10-31,58.2,58.52,57.7115,58.38,1302000,ALB
2014-11-03,58.46,59.02,58.26,58.73,1306200,ALB
2014-11-04,59.03,59.22,58.55,58.8,1421500,ALB
2014-11-05,59.33,60.77,59.01,60.75,1551700,ALB
2014-11-06,60.63,60.98,59.9,60.86,1168000,ALB
2014-11-07,60.86,61.39,60.56,61.18,1043600,ALB
2014-11-10,61.11,61.59,60.9,61.45,1113500,ALB
2014-11-11,61.34,62.25,61.09,62.04,1344500,ALB
2014-11-12,61.92,62.2,61.44,61.56,1412700,ALB
2014-11-13,61.68,62.42,61.3,61.88,1624300,ALB
2014-11-14,61.63,62.11,61.12,61.74,3264700,ALB
2014-11-17,61.61,61.93,61.43,61.6,1322900,ALB
2014-11-18,61.5619,61.979,61.47,61.69,1207900,ALB
2014-11-19,61.74,61.78,61.16,61.55,1336400,ALB
2014-11-20,61.0442,61.83,60.8,61.55,1183700,ALB
2014-11-21,62.47,62.54,61.52,61.78,1298600,ALB
2014-11-24,62.12,62.17,61.59,61.85,770300,ALB
2014-11-25,62.02,62.07,61.2,61.32,1221600,ALB
2014-11-26,61.41,61.71,60.89,61.67,678000,ALB
2014-11-28,61.34,61.34,58.69,59.04,757200,ALB
2014-12-01,59.0,59.38,58.08,58.34,1527500,ALB
2014-12-02,58.4643,58.96,57.86,58.88,1026600,ALB
2014-12-03,59.16,61.6,58.84,61.4,1702600,ALB
2014-12-04,61.17,61.8,60.54,61.8,1273500,ALB
2014-12-05,61.65,63.38,61.65,62.38,1572100,ALB
2014-12-08,62.14,62.54,61.67,61.83,1164700,ALB
2014-12-09,61.15,62.4,61.07,62.34,942600,ALB
2014-12-10,62.05,62.05,58.51,59.0,1922700,ALB
2014-12-11,58.95,59.99,57.68,57.87,1480800,ALB
2014-12-12,57.23,57.5,55.4702,55.6,1332300,ALB
2014-12-15,56.15,56.44,54.47,54.76,1429500,ALB
2014-12-16,54.45,56.25,54.29,54.97,1156200,ALB
2014-12-17,55.04,57.24,54.95,57.2,1601700,ALB
2014-12-18,58.01,58.84,57.5,58.84,1300200,ALB
2014-12-19,58.96,59.47,58.23,58.69,1902100,ALB
2014-12-22,58.82,60.0,58.54,60.0,1929500,ALB
2014-12-23,60.44,61.39,60.14,60.82,999600,ALB
2014-12-24,60.77,61.02,60.48,60.48,429800,ALB
2014-12-26,60.89,61.21,60.64,60.89,768500,ALB
2014-12-29,60.75,61.5035,60.66,60.94,569000,ALB
2014-12-30,60.86,61.3,60.76,60.8,571700,ALB
2014-12-31,60.92,60.97,60.09,60.13,517100,ALB
2015-01-02,60.37,60.64,59.69,60.31,740900,ALB
2015-01-05,59.9,60.08,58.266,58.31,1544700,ALB
2015-01-06,58.44,58.5,57.13,57.17,1625500,ALB
2015-01-07,57.98,57.98,56.745,56.94,953900,ALB
2015-01-08,57.53,58.91,57.36,58.73,1533700,ALB
2015-01-09,58.76,59.71,57.44,59.02,5402600,ALB
2015-01-12,58.98,60.515,58.46,59.7,8195200,ALB
2015-01-13,60.2,62.23,59.95,60.99,2911700,ALB
2015-01-14,59.89,60.23,58.58,59.52,1580300,ALB
2015-01-15,59.76,59.97,57.86,58.08,1632700,ALB
2015-01-16,57.97,58.58,57.31,58.52,1460000,ALB
2015-01-20,59.0,59.0,57.57,57.8,1505000,ALB
2015-01-21,57.66,58.63,57.36,58.61,1685100,ALB
2015-01-22,58.93,59.742,58.43,59.55,1380000,ALB
2015-01-23,59.15,59.44,56.25,56.84,3089100,ALB
2015-01-26,57.23,57.51,56.67,57.14,2054300,ALB
2015-01-27,56.19,56.86,56.08,56.37,1614500,ALB
2015-01-28,56.92,57.76,54.7,55.37,3878300,ALB
2015-01-29,53.81,56.17,46.94,47.77,10098600,ALB
2015-01-30,47.03,48.83,46.78,48.26,6710200,ALB
2015-02-02,48.44,48.76,47.31,47.92,3066300,ALB
2015-02-03,48.7,49.54,47.83,49.38,3064900,ALB
2015-02-04,48.89,49.45,48.44,48.85,1878900,ALB
2015-02-05,49.03,49.9509,48.88,49.75,2318000,ALB
2015-02-06,49.77,51.135,49.76,51.08,2703800,ALB
2015-02-09,50.91,52.15,50.83,52.14,2196100,ALB
2015-02-10,52.4,52.4,51.6,52.17,1429700,ALB
2015-02-11,51.76,53.75,51.48,53.18,1821500,ALB
2015-02-12,52.94,54.12,52.75,53.96,1660100,ALB
2015-02-13,54.1107,54.7,53.33,54.59,2322400,ALB
2015-02-17,54.41,55.22,53.88,54.79,1030600,ALB
2015-02-18,54.39,54.88,54.223,54.86,1070400,ALB
2015-02-19,54.34,54.76,53.94,54.43,1293000,ALB
2015-02-20,54.53,55.47,53.78,55.47,1080100,ALB
2015-02-23,55.03,55.7,54.99,55.56,904300,ALB
2015-02-24,55.43,56.14,55.33,56.08,975200,ALB
2015-02-25,55.8,56.51,55.7965,56.33,770900,ALB
2015-02-26,56.34,56.72,55.89,56.3,738200,ALB
2015-02-27,56.27,56.99,56.1,56.57,751100,ALB
2015-03-02,56.36,57.08,55.83,56.68,1315800,ALB
2015-03-03,56.39,56.85,56.3,56.74,886700,ALB
2015-03-04,56.65,56.65,55.26,55.4,1602200,ALB
2015-03-05,55.44,55.5397,54.7,55.28,943700,ALB
2015-03-06,54.5945,55.18,54.52,54.83,1369700,ALB
2015-03-09,55.01,55.0663,54.75,54.9,1003300,ALB
2015-03-10,54.2041,54.56,54.05,54.34,969400,ALB
2015-03-11,54.31,54.4,53.35,53.54,1686600,ALB
2015-03-12,53.5,54.38,53.25,53.65,952800,ALB
2015-03-13,53.42,53.66,52.74,52.94,794100,ALB
2015-03-16,53.05,53.2,52.57,52.79,1185700,ALB
2015-03-17,52.52,52.74,51.78,52.49,1474600,ALB
2015-03-18,52.38,53.11,51.5,52.75,2347500,ALB
2015-03-19,52.5,52.7,51.48,51.67,1211200,ALB
2015-03-20,51.75,52.53,51.74,52.25,1732800,ALB
2015-03-23,52.25,52.71,51.89,51.91,928600,ALB
2015-03-24,51.92,52.35,51.58,52.0,949400,ALB
2015-03-25,52.0,52.3,51.1383,51.18,554200,ALB
2015-03-26,51.05,51.315,50.84,51.0,788000,ALB
2015-03-27,52.99,53.03,51.37,51.55,1493300,ALB
2015-03-30,51.96,52.5489,51.64,52.43,930400,ALB
2015-03-31,52.28,52.92,51.88,52.84,1126100,ALB
2015-04-01,52.55,52.71,52.23,52.57,1047000,ALB
2015-04-02,52.52,53.46,52.27,52.89,931100,ALB
2015-04-06,52.8,55.22,52.8,55.0,1530900,ALB
2015-04-07,55.0,55.48,54.62,55.25,1199400,ALB
2015-04-08,55.43,56.07,55.27,55.88,1365400,ALB
2015-04-09,56.1,59.027,56.08,59.01,2317900,ALB
2015-04-10,59.49,59.88,58.5668,58.75,1231600,ALB
2015-04-13,58.608,58.94,58.29,58.38,766600,ALB
2015-04-14,58.53,58.97,58.07,58.97,830300,ALB
2015-04-15,59.1,59.68,58.46,59.31,1122100,ALB
2015-04-16,59.24,59.26,58.5387,58.74,1291700,ALB
2015-04-17,58.42,59.07,58.14,59.05,890400,ALB
2015-04-20,59.26,59.47,58.79,59.19,594300,ALB
2015-04-21,59.31,59.41,58.17,58.75,974800,ALB
2015-04-22,58.78,59.29,58.51,58.94,815300,ALB
2015-04-23,58.65,59.07,58.55,58.95,755500,ALB
2015-04-24,59.07,59.66,58.72,59.0,709600,ALB
2015-04-27,59.08,59.39,58.4,58.52,805500,ALB
2015-04-28,58.45,59.5,57.95,59.45,756600,ALB
2015-04-29,58.77,60.3,58.74,60.25,852700,ALB
2015-04-30,60.25,60.78,59.47,59.7,1485500,ALB
2015-05-01,60.14,60.77,59.8074,60.44,735100,ALB
2015-05-04,60.69,60.89,59.99,60.12,885900,ALB
2015-05-05,60.13,60.7,59.59,60.0,1174000,ALB
2015-05-06,60.53,60.73,59.76,60.0,1487400,ALB
2015-05-07,62.28,64.54,61.4388,62.83,3725400,ALB
2015-05-08,63.72,64.99,63.12,63.16,1781800,ALB
2015-05-11,63.16,63.6,62.7071,63.25,1268200,ALB
2015-05-12,63.07,63.21,62.01,62.68,1059900,ALB
2015-05-13,62.7273,62.955,62.44,62.54,860700,ALB
2015-05-14,62.81,63.86,62.61,63.63,1085300,ALB
2015-05-15,63.33,64.8,62.916,64.38,1142500,ALB
2015-05-18,64.24,64.24,63.11,63.26,1318800,ALB
2015-05-19,63.23,63.35,62.17,62.7,1140500,ALB
2015-05-20,62.7931,62.88,62.34,62.54,909500,ALB
2015-05-21,62.23,62.81,62.0463,62.71,669900,ALB
2015-05-22,62.28,62.5,61.66,61.87,1022300,ALB
2015-05-26,61.45,61.65,60.7922,61.16,825400,ALB
2015-05-27,61.16,61.57,60.96,61.32,642900,ALB
2015-05-28,61.31,61.56,60.27,60.59,867500,ALB
2015-05-29,60.5979,60.66,59.9,60.15,1374100,ALB
2015-06-01,60.38,60.72,59.79,59.85,1272000,ALB
2015-06-02,59.84,60.86,59.77,60.66,840600,ALB
2015-06-03,60.91,61.95,60.87,61.45,617800,ALB
2015-06-04,61.05,61.7,60.87,61.27,1100600,ALB
2015-06-05,61.04,61.36,60.55,61.13,688800,ALB
2015-06-08,61.17,61.51,60.63,60.69,647300,ALB
2015-06-09,60.73,61.12,60.47,60.6,499100,ALB
2015-06-10,61.07,61.413,60.7,61.17,758700,ALB
2015-06-11,61.3,61.68,61.19,61.46,600400,ALB
2015-06-12,61.06,61.0577,59.58,59.78,857600,ALB
2015-06-15,59.53,59.53,57.53,57.92,1206000,ALB
2015-06-16,57.92,58.41,57.64,57.98,997100,ALB
2015-06-17,58.42,58.91,57.8359,58.45,805000,ALB
2015-06-18,58.54,59.7,58.23,59.64,1274000,ALB
2015-06-19,59.6,59.63,58.545,58.6,918400,ALB
2015-06-22,58.84,59.09,58.41,59.01,649200,ALB
2015-06-23,59.12,59.21,58.4,58.96,489000,ALB
2015-06-24,59.15,59.285,57.62,57.64,881200,ALB
2015-06-25,57.85,58.47,57.67,58.27,805900,ALB
2015-06-26,58.5497,59.2,58.29,59.1,1577700,ALB
2015-06-29,58.67,59.0007,56.11,56.24,1295800,ALB
2015-06-30,56.72,56.84,54.91,55.27,1213900,ALB
2015-07-01,55.46,55.83,53.82,54.46,1871900,ALB
2015-07-02,54.54,55.13,54.3,55.03,1462100,ALB
2015-07-06,54.26,54.91,54.0,54.25,1247700,ALB
2015-07-07,54.22,54.44,52.97,54.25,1092100,ALB
2015-07-08,53.87,54.225,52.96,53.07,986600,ALB
2015-07-09,53.89,54.16,53.42,53.44,918500,ALB
2015-07-10,54.18,54.41,53.82,54.0,528500,ALB
2015-07-13,54.33,55.65,54.19,55.38,878900,ALB
2015-07-14,55.26,55.41,54.82,55.33,692200,ALB
2015-07-15,55.221,55.29,54.04,54.27,571700,ALB
2015-07-16,54.32,54.675,53.615,54.42,977500,ALB
2015-07-17,54.23,54.23,52.97,53.01,668000,ALB
2015-07-20,52.89,53.12,52.42,52.75,809900,ALB
2015-07-21,52.78,53.37,51.97,52.09,557400,ALB
2015-07-22,51.99,52.21,51.49,51.71,592900,ALB
2015-07-23,51.84,52.08,51.29,51.32,694000,ALB
2015-07-24,51.21,51.31,49.401,49.81,800700,ALB
2015-07-27,49.41,50.1128,49.03,49.81,842700,ALB
2015-07-28,49.9,50.971,49.59,50.78,893700,ALB
2015-07-29,50.92,52.0106,50.55,51.91,1146400,ALB
2015-07-30,51.94,53.54,51.5,53.4,1830700,ALB
2015-07-31,53.83,54.81,53.34,54.2,2140100,ALB
2015-08-03,54.1,54.31,53.0,53.29,889900,ALB
2015-08-04,53.41,54.21,53.3,53.63,985200,ALB
2015-08-05,54.24,54.25,52.53,53.26,1484800,ALB
2015-08-06,53.68,53.68,49.55,51.77,3863700,ALB
2015-08-07,51.93,53.03,51.05,51.24,955900,ALB
2015-08-10,51.24,52.73,51.16,52.69,849100,ALB
2015-08-11,51.98,52.12,51.41,52.0,785400,ALB
2015-08-12,51.45,51.83,50.29,51.12,979600,ALB
