,open,high,low,close,volume,Name
2014-09-24,44.14,45.05,43.92,44.84,872800,ALK
2014-09-25,44.57,44.73,43.71,43.72,947400,ALK
2014-09-26,43.82,44.54,43.6,44.42,970400,ALK
2014-09-29,43.79,44.32,43.55,43.85,1067000,ALK
2014-09-30,43.83,44.08,43.19,43.54,1353200,ALK
2014-10-01,43.14,43.17,42.21,42.74,1695600,ALK
2014-10-02,42.88,43.54,42.08,42.92,997100,ALK
2014-10-03,43.51,44.34,43.3202,44.15,975700,ALK
2014-10-06,44.48,44.6,43.47,43.49,671900,ALK
2014-10-07,43.15,43.65,42.643,42.8,1554400,ALK
2014-10-08,42.8,43.05,41.01,42.86,2582800,ALK
2014-10-09,43.25,43.95,42.53,42.68,2433900,ALK
2014-10-10,42.57,43.41,42.25,42.46,1956400,ALK
2014-10-13,42.36,43.14,41.52,41.58,2459600,ALK
2014-10-14,42.02,43.23,41.83,42.69,2024300,ALK
2014-10-15,41.78,43.13,40.69,41.99,3095900,ALK
2014-10-16,41.49,43.99,41.03,43.8,2136100,ALK
2014-10-17,44.51,45.04,44.28,44.7,1553300,ALK
2014-10-20,44.706,46.23,44.53,46.22,1941300,ALK
2014-10-21,46.89,48.1275,46.89,47.38,1845900,ALK
2014-10-22,47.64,47.84,46.69,46.77,1727700,ALK
2014-10-23,48.27,50.41,48.12,49.95,3616400,ALK
2014-10-24,49.21,50.26,48.95,50.2,1909800,ALK
2014-10-27,50.31,51.92,50.1,51.82,2342300,ALK
2014-10-28,52.06,53.08,51.6,52.79,2152800,ALK
2014-10-29,52.73,53.04,51.72,52.91,1559300,ALK
2014-10-30,51.96,52.62,51.59,52.14,1598700,ALK
2014-10-31,53.2,53.8,52.82,53.23,1501000,ALK
2014-11-03,53.22,54.48,53.11,54.43,1825400,ALK
2014-11-04,54.74,55.92,54.681,55.39,1492100,ALK
2014-11-05,55.97,55.99,53.86,53.97,1883000,ALK
2014-11-06,54.65,55.75,54.44,55.4,1219000,ALK
2014-11-07,55.4,55.96,54.9,55.14,1175300,ALK
2014-11-10,55.0521,56.4,54.71,56.32,1028400,ALK
2014-11-11,56.5,56.823,55.8,56.14,770900,ALK
2014-11-12,55.87,56.24,55.24,56.17,879600,ALK
2014-11-13,56.3356,56.94,55.88,56.24,1062800,ALK
2014-11-14,56.01,56.25,55.3,55.34,1244000,ALK
2014-11-17,55.22,55.725,54.67,54.86,1529400,ALK
2014-11-18,54.91,56.16,54.89,55.86,1186700,ALK
2014-11-19,55.5,55.7507,54.58,54.8,1669900,ALK
2014-11-20,54.35,54.91,53.69,54.24,1321900,ALK
2014-11-21,54.61,54.71,53.31,54.5,1253300,ALK
2014-11-24,54.93,55.58,54.8014,55.33,1015100,ALK
2014-11-25,55.1,56.14,55.0211,55.91,1055600,ALK
2014-11-26,56.0,56.44,55.85,56.2,740000,ALK
2014-11-28,58.1117,59.97,58.02,59.03,1212300,ALK
2014-12-01,58.53,58.54,55.33,55.41,2674600,ALK
2014-12-02,55.18,56.21,54.67,55.25,2064200,ALK
2014-12-03,55.38,56.83,55.275,56.76,1564200,ALK
2014-12-04,58.03,58.76,56.48,56.74,2184800,ALK
2014-12-05,57.21,57.94,57.1,57.26,1235000,ALK
2014-12-08,57.39,58.25,57.18,57.44,1173800,ALK
2014-12-09,56.12,56.5,55.06,56.4,1525700,ALK
2014-12-10,56.97,57.45,55.15,55.19,1486300,ALK
2014-12-11,55.8,56.14,55.32,55.97,1683800,ALK
2014-12-12,56.63,56.98,55.5,55.81,1610200,ALK
2014-12-15,56.27,58.0,55.81,57.65,1965900,ALK
2014-12-16,57.72,57.943,55.66,55.68,2090700,ALK
2014-12-17,55.73,56.55,54.54,56.03,1635700,ALK
2014-12-18,56.25,56.62,55.42,56.34,1125300,ALK
2014-12-19,56.1944,56.63,55.53,56.16,1831800,ALK
2014-12-22,56.56,57.75,56.56,56.73,767200,ALK
2014-12-23,57.23,57.345,56.42,56.75,764600,ALK
2014-12-24,57.24,58.839,57.24,58.72,629800,ALK
2014-12-26,58.7549,59.48,58.56,59.02,706300,ALK
2014-12-29,58.83,59.95,58.56,59.73,839600,ALK
2014-12-30,59.74,60.505,59.47,59.77,833700,ALK
2014-12-31,60.26,60.94,59.76,59.76,902400,ALK
2015-01-02,60.54,60.856,59.47,60.33,1199600,ALK
2015-01-05,60.81,60.87,59.19,59.47,1288800,ALK
2015-01-06,59.78,60.29,57.71,58.77,1511700,ALK
2015-01-07,59.06,60.0,58.81,59.67,1039600,ALK
2015-01-08,60.0,61.455,59.69,60.7,1697500,ALK
2015-01-09,60.65,60.79,59.71,59.73,986900,ALK
2015-01-12,60.67,61.13,59.73,60.61,1100000,ALK
2015-01-13,61.53,62.9865,60.581,61.41,1687200,ALK
2015-01-14,60.63,61.999,60.1919,61.54,1557200,ALK
2015-01-15,61.69,62.1,60.6,61.47,1619300,ALK
2015-01-16,61.09,62.42,60.56,62.35,1618600,ALK
2015-01-20,63.4,64.81,63.11,64.6,1521200,ALK
2015-01-21,64.4,65.2,63.77,64.98,2314800,ALK
2015-01-22,66.9,67.997,64.55,67.94,2833200,ALK
2015-01-23,68.1,69.9,67.7016,68.65,1883200,ALK
2015-01-26,68.77,70.51,68.65,70.44,2396600,ALK
2015-01-27,69.37,70.78,68.94,69.7,1536800,ALK
2015-01-28,70.5,70.55,68.42,68.7,1220500,ALK
2015-01-29,68.8,71.4,68.42,71.07,1966700,ALK
2015-01-30,70.37,70.868,67.26,67.87,2236800,ALK
2015-02-02,67.7,68.0,65.4286,67.32,2284100,ALK
2015-02-03,66.0,66.385,64.09,65.18,2928500,ALK
2015-02-04,65.96,67.2,65.84,66.7,1823000,ALK
2015-02-05,66.8027,66.94,65.02,66.82,1354300,ALK
2015-02-06,66.57,66.9407,65.67,65.92,1570000,ALK
2015-02-09,65.15,65.15,62.53,63.51,2120500,ALK
2015-02-10,64.19,65.49,63.68,65.37,1965200,ALK
2015-02-11,65.9019,66.43,64.39,64.51,1560900,ALK
2015-02-12,63.5718,63.59,61.72,62.75,2822200,ALK
2015-02-13,62.16,62.6005,61.35,62.56,1697700,ALK
2015-02-17,62.61,63.35,62.11,62.23,1200800,ALK
2015-02-18,63.12,63.88,62.06,63.83,1565000,ALK
2015-02-19,65.18,65.18,62.77,62.94,2091000,ALK
2015-02-20,62.76,64.15,62.4,64.14,1049600,ALK
2015-02-23,65.01,65.04,63.53,64.14,1247900,ALK
2015-02-24,63.54,64.52,62.4,64.43,1301500,ALK
2015-02-25,64.24,64.68,63.34,63.44,1216400,ALK
2015-02-26,64.12,64.1985,63.01,63.98,1225400,ALK
2015-02-27,64.48,64.6,63.59,63.65,1944400,ALK
2015-03-02,64.4,65.53,64.32,65.44,1850400,ALK
2015-03-03,65.0,66.2,64.81,66.16,1629000,ALK
2015-03-04,65.68,66.0096,64.85,65.77,1313800,ALK
2015-03-05,65.75,65.97,64.51,64.64,1118400,ALK
2015-03-06,64.33,64.64,63.57,63.73,948700,ALK
2015-03-09,63.72,64.49,63.57,63.98,1004200,ALK
2015-03-10,63.98,64.5558,63.4,64.17,1226000,ALK
2015-03-11,64.01,65.32,63.6,65.08,1109300,ALK
2015-03-12,65.06,67.2798,65.015,67.11,1339600,ALK
2015-03-13,67.25,67.86,66.24,66.66,932400,ALK
2015-03-16,67.51,67.99,67.16,67.57,1027700,ALK
2015-03-17,67.51,69.0,67.51,68.8,1473800,ALK
2015-03-18,68.92,69.42,67.48,67.97,1267600,ALK
2015-03-19,68.46,68.93,67.68,68.35,835200,ALK
2015-03-20,68.628,68.75,67.63,68.68,1790800,ALK
2015-03-23,68.68,69.0,67.49,67.49,1173500,ALK
2015-03-24,67.2,67.222,66.28,66.98,1127400,ALK
2015-03-25,66.89,66.99,64.36,64.6,1346400,ALK
2015-03-26,63.92,64.82,62.77,64.61,1622200,ALK
2015-03-27,64.93,65.953,64.82,65.59,852400,ALK
2015-03-30,66.21,66.64,65.65,66.2,761200,ALK
2015-03-31,66.13,66.4771,65.28,66.18,929000,ALK
2015-04-01,65.33,65.59,63.526,64.0,1068600,ALK
2015-04-02,64.02,64.81,62.985,63.07,1220000,ALK
2015-04-06,61.95,63.0,61.539,62.4,1728400,ALK
2015-04-07,62.13,63.33,62.13,62.76,990900,ALK
2015-04-08,63.01,64.98,62.921,64.81,1219000,ALK
2015-04-09,64.96,65.58,63.67,64.15,1244500,ALK
2015-04-10,64.18,64.7677,63.87,63.94,804400,ALK
2015-04-13,63.76,65.02,63.15,63.33,1233200,ALK
2015-04-14,63.2,63.53,62.19,62.53,1175400,ALK
2015-04-15,63.2,63.7,62.01,62.02,1332100,ALK
2015-04-16,62.02,63.56,61.64,63.5,1599100,ALK
2015-04-17,62.9,63.71,62.85,62.97,1419700,ALK
2015-04-20,63.37,63.59,62.511,63.4,1115900,ALK
2015-04-21,63.75,65.0,63.6,64.93,990800,ALK
2015-04-22,64.94,65.0,63.6569,64.31,1280600,ALK
2015-04-23,63.65,66.855,63.3,66.34,1998800,ALK
2015-04-24,66.94,68.66,66.94,68.3,1530700,ALK
2015-04-27,68.22,68.68,67.15,67.4,1179800,ALK
2015-04-28,67.0007,67.19,65.58,66.47,816500,ALK
2015-04-29,66.15,66.5125,63.97,65.34,1193000,ALK
2015-04-30,64.91,65.65,63.84,64.06,1147700,ALK
2015-05-01,64.48,65.86,64.1943,65.3,795800,ALK
2015-05-04,65.5556,66.12,64.415,64.53,1118000,ALK
2015-05-05,63.4,63.82,62.9,62.97,999700,ALK
2015-05-06,62.5,63.74,62.15,63.24,1155200,ALK
2015-05-07,63.27,65.55,63.27,64.96,1049700,ALK
2015-05-08,65.86,66.79,65.73,66.27,1088100,ALK
2015-05-11,65.96,66.83,65.68,66.33,969600,ALK
2015-05-12,65.89,66.01,65.14,65.18,767400,ALK
2015-05-13,65.72,66.21,64.57,64.71,684400,ALK
2015-05-14,65.24,66.165,64.78,66.13,974800,ALK
2015-05-15,66.36,66.96,66.09,66.5,937900,ALK
2015-05-18,66.39,68.0,66.11,67.58,1247100,ALK
2015-05-19,67.87,68.27,66.65,66.99,1386800,ALK
2015-05-20,66.74,66.97,63.409,63.96,2179700,ALK
2015-05-21,64.09,64.8303,63.5,64.69,1277800,ALK
2015-05-22,64.89,65.24,64.0,64.4,850700,ALK
2015-05-26,64.44,64.83,62.19,62.37,1295500,ALK
2015-05-27,62.72,63.48,62.57,63.4,1224500,ALK
2015-05-28,63.49,64.05,63.12,63.74,1044000,ALK
2015-05-29,63.7,64.85,63.377,64.64,1489500,ALK
2015-06-01,65.01,66.3,64.5,66.09,1808500,ALK
2015-06-02,65.1,66.31,64.79,65.72,941200,ALK
2015-06-03,65.95,66.34,65.36,65.86,794700,ALK
2015-06-04,65.81,66.6563,65.03,65.51,966300,ALK
2015-06-05,65.48,65.975,64.855,65.66,946100,ALK
2015-06-08,65.02,65.685,62.31,62.53,1519800,ALK
2015-06-09,61.88,61.8851,58.15,60.65,3734600,ALK
2015-06-10,60.15,61.69,59.86,60.76,1568900,ALK
2015-06-11,60.89,62.12,60.76,61.82,1426700,ALK
2015-06-12,61.7185,63.77,61.605,63.5,1568300,ALK
2015-06-15,62.86,63.24,62.08,62.66,1128900,ALK
2015-06-16,62.6787,63.34,61.89,62.28,780400,ALK
2015-06-17,62.15,62.67,61.65,62.03,1232900,ALK
2015-06-18,62.61,64.37,62.61,63.99,1461200,ALK
2015-06-19,64.31,65.42,63.9097,64.65,4167400,ALK
2015-06-22,65.62,66.26,65.12,66.22,1732000,ALK
2015-06-23,67.07,67.48,66.43,66.52,1560400,ALK
2015-06-24,66.58,67.24,66.02,66.2,1153500,ALK
2015-06-25,66.67,67.15,65.42,65.43,1273500,ALK
2015-06-26,65.8,65.9,64.5,64.75,1872000,ALK
2015-06-29,64.29,65.6,63.8,63.86,1066600,ALK
2015-06-30,64.55,65.48,64.2,64.43,1332400,ALK
2015-07-01,65.55,65.64,62.59,64.3,1956600,ALK
2015-07-02,64.66,65.3062,63.82,65.01,1109000,ALK
2015-07-06,64.61,66.39,64.54,66.16,1331400,ALK
2015-07-07,66.25,67.63,65.7,67.44,1464900,ALK
2015-07-08,67.04,67.09,65.5,66.12,1324600,ALK
2015-07-09,67.07,67.22,66.44,66.54,922700,ALK
2015-07-10,68.01,70.69,67.8,70.55,2292100,ALK
2015-07-13,71.51,72.65,71.51,72.25,1438200,ALK
2015-07-14,71.96,73.7,71.46,73.62,1782500,ALK
2015-07-15,73.49,74.54,72.13,73.72,1741500,ALK
2015-07-16,73.9926,75.47,73.875,74.69,1555800,ALK
2015-07-17,74.99,75.35,74.32,74.77,1111500,ALK
2015-07-20,75.04,75.248,73.7,74.14,1355700,ALK
2015-07-21,74.22,75.0326,73.97,74.95,1155700,ALK
2015-07-22,74.46,75.88,74.46,75.83,1630700,ALK
2015-07-23,76.88,77.8,72.61,73.79,2246900,ALK
2015-07-24,74.4938,75.24,73.448,74.1,1551600,ALK
2015-07-27,73.39,73.55,72.55,73.02,1226900,ALK
2015-07-28,73.39,74.47,72.78,74.32,1540200,ALK
2015-07-29,74.36,75.0,73.36,74.78,1310300,ALK
