,open,high,low,close,volume,Name
2014-09-24,3.71,3.75,3.69,3.7,11792600,AMD
2014-09-25,3.7,3.72,3.6,3.63,17556500,AMD
2014-09-26,3.63,3.67,3.6,3.6,12976300,AMD
2014-09-29,3.56,3.66,3.54,3.55,26857600,AMD
2014-09-30,3.56,3.58,3.4,3.41,55952200,AMD
2014-10-01,3.39,3.4197,3.3,3.35,33645900,AMD
2014-10-02,3.37,3.44,3.28,3.39,27904500,AMD
2014-10-03,3.43,3.46,3.37,3.4,16797000,AMD
2014-10-06,3.415,3.44,3.3,3.36,17864800,AMD
2014-10-07,3.35,3.38,3.28,3.28,17720600,AMD
2014-10-08,3.3,3.305,3.18,3.28,28000000,AMD
2014-10-09,3.03,3.2,2.94,2.95,69528900,AMD
2014-10-10,2.95,2.95,2.71,2.72,41062500,AMD
2014-10-13,2.78,2.845,2.73,2.74,38269400,AMD
2014-10-14,2.61,2.75,2.6,2.62,39964200,AMD
2014-10-15,2.62,2.7049,2.54,2.61,36924600,AMD
2014-10-16,2.56,2.715,2.54,2.64,38795400,AMD
2014-10-17,2.67,2.86,2.66,2.72,75956600,AMD
2014-10-20,2.791,2.795,2.6,2.67,28711000,AMD
2014-10-21,2.6949,2.78,2.68,2.77,24033800,AMD
2014-10-22,2.7901,2.795,2.64,2.64,23034800,AMD
2014-10-23,2.68,2.7101,2.65,2.69,23731000,AMD
2014-10-24,2.6901,2.73,2.67,2.68,11945800,AMD
2014-10-27,2.68,2.71,2.65,2.66,13307500,AMD
2014-10-28,2.69,2.77,2.67,2.72,22878300,AMD
2014-10-29,2.75,2.81,2.73,2.77,15600900,AMD
2014-10-30,2.7901,2.79,2.7,2.75,13026100,AMD
2014-10-31,2.79,2.83,2.75,2.8,14704800,AMD
2014-11-03,2.81,2.9,2.81,2.87,11733600,AMD
2014-11-04,2.9,2.905,2.75,2.83,12524300,AMD
2014-11-05,2.85,2.87,2.77,2.8,9635100,AMD
2014-11-06,2.78,2.8,2.75,2.76,8932900,AMD
2014-11-07,2.77,2.8,2.76,2.78,7293800,AMD
2014-11-10,2.78,2.81,2.75,2.76,12593100,AMD
2014-11-11,2.78,2.79,2.7201,2.73,8113500,AMD
2014-11-12,2.73,2.75,2.65,2.71,15875400,AMD
2014-11-13,2.71,2.74,2.65,2.66,10915400,AMD
2014-11-14,2.675,2.7,2.61,2.61,12373000,AMD
2014-11-17,2.62,2.69,2.61,2.67,12593800,AMD
2014-11-18,2.69,2.73,2.63,2.65,14967800,AMD
2014-11-19,2.68,2.68,2.61,2.63,10323300,AMD
2014-11-20,2.6,2.72,2.59,2.69,15043900,AMD
2014-11-21,2.72,2.77,2.71,2.77,11311600,AMD
2014-11-24,2.8,2.8501,2.8,2.83,12293900,AMD
2014-11-25,2.84,2.86,2.76,2.83,11073600,AMD
2014-11-26,2.81,2.84,2.8,2.84,10553500,AMD
2014-11-28,2.85,2.85,2.77,2.79,5665000,AMD
2014-12-01,2.77,2.79,2.6402,2.67,16025100,AMD
2014-12-02,2.69,2.71,2.61,2.68,12438800,AMD
2014-12-03,2.71,2.82,2.69,2.74,18256500,AMD
2014-12-04,2.75,2.75,2.66,2.69,14513400,AMD
2014-12-05,2.69,2.7,2.66,2.66,9479300,AMD
2014-12-08,2.65,2.68,2.52,2.58,25402100,AMD
2014-12-09,2.55,2.59,2.49,2.59,22914800,AMD
2014-12-10,2.58,2.58,2.46,2.48,17690100,AMD
2014-12-11,2.51,2.54,2.46,2.49,10151600,AMD
2014-12-12,2.46,2.55,2.35,2.52,21211600,AMD
2014-12-15,2.52,2.6,2.46,2.47,19636400,AMD
2014-12-16,2.44,2.53,2.42,2.5,17051600,AMD
2014-12-17,2.5,2.57,2.46,2.55,12521300,AMD
2014-12-18,2.58,2.59,2.5401,2.55,12423900,AMD
2014-12-19,2.53,2.57,2.5099,2.57,14701500,AMD
2014-12-22,2.55,2.68,2.52,2.66,15044900,AMD
2014-12-23,2.69,2.72,2.66,2.67,8274400,AMD
2014-12-24,2.63,2.7,2.63,2.65,4624000,AMD
2014-12-26,2.65,2.685,2.65,2.65,4029600,AMD
2014-12-29,2.64,2.66,2.63,2.66,8527000,AMD
2014-12-30,2.64,2.695,2.63,2.63,7783700,AMD
2014-12-31,2.64,2.7,2.64,2.67,11177900,AMD
2015-01-02,2.7,2.73,2.64,2.69,0,AMD
2015-01-05,2.67,2.7,2.64,2.66,8878200,AMD
2015-01-06,2.65,2.66,2.55,2.63,13912500,AMD
2015-01-07,2.6299,2.65,2.54,2.58,12377600,AMD
2015-01-08,2.59,2.645,2.56,2.61,11136600,AMD
2015-01-09,2.63,2.64,2.58,2.63,8907600,AMD
2015-01-12,2.62,2.64,2.55,2.63,9979600,AMD
2015-01-13,2.64,2.68,2.6,2.66,17907400,AMD
2015-01-14,2.6,2.66,2.58,2.63,9989900,AMD
2015-01-15,2.62,2.6499,2.49,2.52,17744000,AMD
2015-01-16,2.52,2.53,2.39,2.39,30192400,AMD
2015-01-20,2.39,2.43,2.19,2.24,56713300,AMD
2015-01-21,2.18,2.45,2.14,2.45,46530800,AMD
2015-01-22,2.42,2.5,2.37,2.47,36169600,AMD
2015-01-23,2.48,2.5,2.43,2.45,11107200,AMD
2015-01-26,2.44,2.64,2.44,2.61,36571300,AMD
2015-01-27,2.58,2.84,2.56,2.7,51805800,AMD
2015-01-28,2.71,2.75,2.6,2.63,24786200,AMD
2015-01-29,2.63,2.69,2.51,2.61,17790200,AMD
2015-01-30,2.56,2.5998,2.51,2.57,12908200,AMD
2015-02-02,2.69,2.75,2.65,2.67,25688700,AMD
2015-02-03,2.7,2.8,2.68,2.76,22592300,AMD
2015-02-04,2.78,2.92,2.76,2.85,34829300,AMD
2015-02-05,2.88,3.37,2.87,3.31,73355600,AMD
2015-02-06,3.2,3.21,3.0,3.03,38300000,AMD
2015-02-09,3.03,3.07,2.93,3.04,24133800,AMD
2015-02-10,3.0702,3.1,3.01,3.04,13995100,AMD
2015-02-11,3.03,3.1,3.0001,3.07,11741100,AMD
2015-02-12,3.08,3.15,3.05,3.12,12975000,AMD
2015-02-13,3.13,3.18,3.11,3.15,9627600,AMD
2015-02-17,3.16,3.17,3.08,3.11,8678100,AMD
2015-02-18,3.11,3.135,3.06,3.08,7286100,AMD
2015-02-19,3.06,3.08,3.01,3.055,6573600,AMD
2015-02-20,3.03,3.13,3.02,3.06,10666700,AMD
2015-02-23,3.05,3.1,3.03,3.06,6323500,AMD
2015-02-24,3.06,3.115,3.02,3.11,10916300,AMD
2015-02-25,3.08,3.14,3.06,3.1,6151300,AMD
2015-02-26,3.1,3.125,3.06,3.08,8680900,AMD
2015-02-27,3.07,3.1201,3.07,3.11,7150200,AMD
2015-03-02,3.13,3.23,3.11,3.21,15638100,AMD
2015-03-03,3.2,3.23,3.13,3.14,8644000,AMD
2015-03-04,3.14,3.14,3.01,3.05,12122100,AMD
2015-03-05,3.1,3.1,2.98,2.98,11472300,AMD
2015-03-06,2.96,2.99,2.83,2.92,16785200,AMD
2015-03-09,2.92,2.98,2.9,2.93,12405900,AMD
2015-03-10,2.97,2.98,2.92,2.92,10312400,AMD
2015-03-11,2.92,2.945,2.8,2.84,11772800,AMD
2015-03-12,2.76,2.79,2.715,2.76,13847200,AMD
2015-03-13,2.74,2.78,2.71,2.75,8098100,AMD
2015-03-16,2.75,2.81,2.75,2.76,6132900,AMD
2015-03-17,2.75,2.795,2.74,2.77,7742200,AMD
2015-03-18,2.77,2.82,2.72,2.75,11385200,AMD
2015-03-19,2.76,2.78,2.73,2.74,8819400,AMD
2015-03-20,2.76,2.8,2.74,2.8,10764800,AMD
2015-03-23,2.81,2.85,2.8,2.84,7450200,AMD
2015-03-24,2.85,2.85,2.76,2.79,8724500,AMD
2015-03-25,2.78,2.79,2.56,2.63,26985300,AMD
2015-03-26,2.59,2.7001,2.53,2.65,28286300,AMD
2015-03-27,2.7,2.8,2.63,2.72,16844100,AMD
2015-03-30,2.73,2.76,2.655,2.7,8557500,AMD
2015-03-31,2.66,2.6999,2.65,2.68,7025000,AMD
2015-04-01,2.66,2.75,2.65,2.69,11240500,AMD
2015-04-02,2.66,2.7,2.65,2.69,7047600,AMD
2015-04-06,2.68,2.73,2.68,2.7,8178500,AMD
2015-04-07,2.7,2.74,2.69,2.7,5738100,AMD
2015-04-08,2.68,2.7399,2.68,2.71,4349000,AMD
2015-04-09,2.69,2.75,2.69,2.72,7127600,AMD
2015-04-10,2.74,2.78,2.73,2.76,6184800,AMD
2015-04-13,2.76,2.8,2.73,2.78,8391500,AMD
2015-04-14,2.77,2.79,2.65,2.67,13364100,AMD
2015-04-15,2.7,2.74,2.65,2.7,15281400,AMD
2015-04-16,2.72,2.94,2.7,2.87,28617300,AMD
2015-04-17,2.535,2.58,2.45,2.575,53185300,AMD
2015-04-20,2.5599,2.57,2.45,2.49,29164300,AMD
2015-04-21,2.53,2.53,2.35,2.35,31279400,AMD
2015-04-22,2.35,2.36,2.25,2.28,27634900,AMD
2015-04-23,2.28,2.36,2.26,2.33,15130400,AMD
2015-04-24,2.36,2.38,2.3,2.3,15001200,AMD
2015-04-27,2.3,2.36,2.29,2.34,13486900,AMD
2015-04-28,2.36,2.37,2.31,2.31,11448700,AMD
2015-04-29,2.3,2.33,2.27,2.28,11870200,AMD
2015-04-30,2.28,2.31,2.26,2.26,11465300,AMD
2015-05-01,2.26,2.31,2.25,2.31,11662800,AMD
2015-05-04,2.31,2.36,2.3,2.31,9670100,AMD
2015-05-05,2.34,2.34,2.25,2.28,12371600,AMD
2015-05-06,2.29,2.305,2.24,2.29,18492100,AMD
2015-05-07,2.32,2.32,2.26,2.32,15015600,AMD
