,open,high,low,close,volume,Name
2014-09-24,56.88,58.04,56.78,57.96,2307300,A
2014-09-25,57.86,57.99,56.89,56.89,2278100,A
2014-09-26,56.79,56.94,56.07,56.5,3101300,A
2014-09-29,56.04,57.179,55.92,57.15,2273900,A
2014-09-30,57.21,57.4,56.8183,56.98,2964500,A
2014-10-01,56.85,56.93,56.18,56.2,3468800,A
2014-10-02,56.13,56.24,55.29,55.83,2387900,A
2014-10-03,56.23,57.01,56.16,56.91,2205000,A
2014-10-06,57.06,57.16,56.43,56.57,1618000,A
2014-10-07,56.25,56.33,55.0,55.0,2117200,A
2014-10-08,55.06,56.52,54.8,56.46,2970300,A
2014-10-09,56.28,56.28,55.03,55.03,3531700,A
2014-10-10,54.9144,55.02,53.42,53.64,7176700,A
2014-10-13,53.73,54.23,52.73,52.79,3533100,A
2014-10-14,53.04,53.39,51.77,51.79,5554100,A
2014-10-15,50.87,51.88,49.8,51.79,6604000,A
2014-10-16,50.7837,52.12,50.55,51.71,7496200,A
2014-10-17,52.17,53.41,52.02,52.27,5327400,A
2014-10-20,52.07,52.38,50.86,52.35,6909100,A
2014-10-21,52.86,54.03,52.8593,54.0,3120100,A
2014-10-22,53.77,53.86,52.99,53.05,3021200,A
2014-10-23,53.59,54.21,53.59,53.71,2453000,A
2014-10-24,53.7,54.11,53.51,54.05,2108400,A
2014-10-27,53.94,54.11,53.6,53.99,1545200,A
2014-10-28,54.12,54.67,53.88,54.66,2394700,A
2014-10-29,54.59,54.68,54.13,54.5,2074200,A
2014-10-30,53.91,54.38,53.75,54.32,2883700,A
2014-10-31,55.21,55.41,54.85,55.28,2918700,A
2014-11-03,39.9,41.24,39.49,40.84,4559800,A
2014-11-04,40.26,40.83,39.84,40.18,5765200,A
2014-11-05,40.61,40.67,39.98,40.13,2341400,A
2014-11-06,40.39,41.405,40.26,41.37,2968300,A
2014-11-07,41.39,41.48,40.86,40.93,2458700,A
2014-11-10,40.98,41.55,40.88,41.53,2583900,A
2014-11-11,41.52,42.11,41.34,41.66,2163800,A
2014-11-12,41.3,41.54,41.02,41.45,2504300,A
2014-11-13,41.55,41.74,41.26,41.45,1805500,A
2014-11-14,41.36,41.65,41.29,41.57,1331300,A
2014-11-17,41.57,41.7,41.21,41.24,2697200,A
2014-11-18,40.25,41.16,40.05,40.8,5891400,A
